['61', '219', '8', '125']
['238', '147', '120', '176']
['84', '124', '212', '74']
['95', '158', '60', '15']
['13', '27', '227', '215']
['50', '174', '167', '97']
['3', '182', '195', '223']
['137', '184', '53', '150']
['197', '135', '155', '77']
['175', '146', '171', '118']
['240', '52', '198', '210']
['66', '85', '138', '29']
['194', '154', '163', '117']
['237', '56', '149', '166']
['9', '78', '1', '162']
['12', '177', '82', '123']
['25', '229', '37', '115']
['108', '35', '233', '243']
['92', '242', '51', '73']
['133', '199', '36', '220']
['46', '246', '113', '24']
['106', '236', '164', '165']
['41', '189', '121', '226']
['122', '170', '83', '202']
['156', '140', '232', '205']
['209', '93', '143', '178']
['211', '45', '216', '191']
['34', '192', '181', '109']
['7', '75', '145', '188']
['102', '221', '214', '217']
['132', '172', '88', '207']
['33', '179', '247', '134']
['190', '153', '245', '58']
['49', '68', '129', '127']
['99', '6', '57', '94']
['119', '20', '64', '72']
['62', '239', '228', '101']
['151', '206', '104', '231']
['126', '90', '16', '116']
['168', '10', '148', '87']
['141', '114', '26', '107']
['39', '234', '89', '19']
['0', '28', '235', '201']
['186', '42', '32', '21']
['161', '81', '157', '144']
['55', '152', '208', '244']
['31', '70', '76', '44']
['4', '98', '18', '203']
['63', '200', '142', '185']
['69', '249', '5', '80']
['224', '218', '17', '96']
['112', '128', '43', '54']
['71', '196', '169', '67']
['47', '183', '230', '136']
['248', '59', '79', '111']
['130', '193', '225', '91']
['139', '213', '204', '30']
['160', '131', '48', '173']
['159', '110', '222']
['40', '187', '241', '86']
['14', '11', '105', '38']
['23', '65', '103', '180']
['2', '22', '100']
