['367', '124', '211', '158', '333', '436', '460', '370', '351', '295', '293', '372', '356', '48', '369', '187', '374', '163', '198', '360', '365', '364', '68', '85', '358']
['226', '305', '378', '247', '112', '240', '36', '239', '309', '245', '15', '228', '207', '237', '456', '449', '64', '268', '349', '225', '390', '306', '171', '162', '236']
['118', '109', '123', '122', '135', '4', '154', '60', '410', '357', '119', '353', '58', '102', '101', '104', '110', '117', '45', '116', '303', '121', '277', '23', '100']
['241', '238', '217', '230', '366', '233', '234', '304', '229', '231', '371', '1', '106', '133', '232', '355', '208', '186', '227', '244', '235', '382', '246', '477', '248']
['426', '437', '441', '381', '446', '431', '444', '443', '447', '92', '430', '348', '432', '383', '167', '427', '281', '93', '435', '419', '319', '489', '440', '399', '496']
['53', '484', '266', '16', '307', '70', '73', '63', '428', '59', '270', '62', '66', '416', '386', '71', '65', '249', '212', '300', '61', '57', '52', '252', '261']
['91', '11', '86', '80', '203', '155', '408', '79', '150', '497', '77', '97', '120', '89', '98', '90', '99', '331', '78', '82', '95', '19', '107', '278', '148']
['488', '213', '494', '296', '475', '485', '487', '156', '465', '490', '498', '302', '412', '495', '491', '125', '482', '493', '481', '83', '476', '413', '483', '479', '290']
['201', '214', '224', '221', '469', '464', '215', '272', '173', '422', '223', '210', '46', '218', '222', '219', '200', '209', '144', '189', '202', '216', '315', '49', '206']
['352', '359', '400', '480', '20', '192', '324', '54', '55', '373', '140', '103', '56', '361', '363', '341', '259', '350', '448', '286', '342', '409', '161', '445', '368']
['417', '418', '415', '323', '414', '127', '267', '406', '193', '424', '402', '404', '420', '327', '407', '442', '411', '21', '423', '421', '345', '177', '199', '179', '462']
['439', '204', '318', '451', '434', '182', '438', '425', '312', '191', '459', '429', '115', '147', '105', '288', '114', '149', '108', '74', '159', '403', '466', '468', '455']
['311', '461', '317', '279', '310', '322', '7', '321', '313', '69', '243', '316', '0', '301', '308', '405', '320', '242', '152', '35', '362', '343', '379', '131', '287']
['262', '251', '172', '380', '325', '273', '257', '253', '274', '258', '299', '256', '250', '264', '401', '384', '394', '389', '388', '377', '376', '433', '392', '395', '76']
['336', '344', '338', '328', '335', '332', '346', '132', '337', '330', '450', '329', '334', '347', '339', '326', '284', '13', '183', '72', '387', '396', '391', '41', '8']
['22', '142', '17', '499', '113', '294', '138', '94', '47', '2', '141', '9', '178', '111', '24', '10', '3', '75', '81', '84', '37', '27', '34', '33', '40']
['50', '30', '67', '282', '181', '354', '143', '340', '51', '314', '467', '393', '285', '473', '472', '454', '453', '298', '470', '87', '457', '474', '452', '31', '26']
['260', '269', '265', '254', '29', '157', '271', '263', '255', '174', '170', '44', '160', '153', '151', '166', '169', '168', '88', '164', '165', '32', '42', '39', '486']
['176', '6', '398', '185', '188', '458', '197', '195', '175', '471', '397', '184', '180', '194', '196', '18', '14', '38', '283', '291', '297', '275', '289', '463', '292']
['145', '375', '5', '96', '128', '25', '43', '126', '139', '12', '137', '28', '146', '385', '136', '492', '134', '478', '276', '129', '190', '280', '130', '205', '220']
