['117', '420', '27', '145', '188', '415', '445', '34', '328', '195']
['419', '62', '266', '213', '224', '418', '44', '74', '431', '15']
['246', '490', '122', '125', '70', '355', '230', '288', '324', '348']
['94', '6', '81', '219', '177', '447', '410', '374', '417', '381']
['375', '225', '57', '317', '9', '217', '456', '33', '128', '101']
['198', '214', '437', '158', '52', '178', '309', '462', '485', '92']
['333', '318', '215', '245', '141', '497', '53', '331', '56', '346']
['300', '290', '367', '483', '5', '60', '463', '223', '59', '480']
['163', '408', '142', '488', '247', '112', '389', '47', '4', '473']
['202', '368', '109', '120', '398', '448', '335', '428', '156', '43']
['297', '365', '159', '8', '10', '466', '160', '360', '237', '392']
['146', '311', '190', '293', '58', '487', '233', '174', '182', '380']
['334', '124', '498', '354', '332', '7', '63', '252', '232', '139']
['444', '359', '212', '86', '429', '294', '422', '287', '80', '336']
['411', '337', '280', '147', '310', '423', '256', '126', '248', '32']
['378', '269', '434', '430', '11', '236', '384', '482', '478', '270']
['315', '211', '441', '458', '97', '267', '67', '36', '302', '330']
['116', '30', '499', '351', '207', '414', '102', '180', '231', '364']
['37', '184', '169', '171', '366', '304', '240', '454', '45', '75']
['284', '305', '135', '405', '150', '234', '427', '306', '98', '13']
['291', '90', '383', '353', '406', '14', '93', '186', '279', '191']
['474', '394', '239', '210', '339', '386', '400', '399', '1', '443']
['452', '341', '96', '449', '451', '54', '313', '85', '329', '69']
['3', '496', '467', '369', '491', '82', '87', '28', '327', '200']
['29', '393', '397', '46', '51', '303', '78', '105', '382', '241']
['493', '403', '165', '472', '391', '396', '319', '253', '363', '308']
['220', '461', '426', '38', '261', '50', '222', '95', '154', '187']
['123', '285', '193', '325', '489', '55', '137', '227', '250', '115']
['424', '486', '272', '66', '281', '89', '468', '470', '407', '111']
['390', '204', '176', '166', '275', '199', '208', '26', '278', '321']
['119', '228', '155', '495', '79', '42', '286', '206', '343', '492']
['476', '299', '464', '416', '425', '268', '201', '113', '221', '314']
['433', '129', '421', '229', '68', '404', '91', '172', '216', '259']
['292', '20', '203', '322', '450', '455', '35', '477', '88', '164']
['133', '438', '84', '377', '385', '316', '320', '196', '205', '0']
['161', '143', '307', '192', '274', '209', '409', '465', '49', '242']
['370', '175', '475', '48', '439', '130', '25', '356', '132', '453']
['72', '494', '251', '99', '243', '12', '432', '442', '262', '170']
['162', '289', '349', '249', '273', '2', '100', '107', '238', '362']
['255', '469', '342', '312', '258', '103', '152', '371', '412', '440']
['296', '197', '153', '148', '373', '168', '194', '263', '23', '136']
['387', '340', '106', '31', '73', '357', '118', '260', '481', '22']
['344', '16', '277', '413', '244', '479', '83', '183', '64', '271']
['127', '104', '114', '40', '39', '352', '185', '218', '181', '388']
['179', '18', '140', '24', '264', '435', '131', '372', '235', '41']
['157', '282', '110', '226', '108', '265', '460', '350', '326', '459']
['402', '379', '173', '301', '323', '376', '21', '121', '347', '295']
['395', '471', '138', '151', '283', '436', '77', '484', '457', '446']
['257', '71', '361', '298', '19', '189', '254', '17', '338', '76']
['144', '167', '61', '276', '134', '401', '345', '65', '149', '358']
