['100', '394', '318', '135', '154', '215', '310', '351', '365', '45', '123', '155', '101', '46', '185', '383']
['376', '124', '56', '27', '8', '338', '344', '60', '317', '392', '379', '167', '210', '105', '118', '85']
['198', '269', '227', '195', '15', '126', '270', '150', '66', '375', '177', '282', '337', '246', '321', '396']
['80', '212', '286', '353', '388', '37', '173', '1', '354', '149', '44', '342', '387', '339', '373', '232']
['250', '176', '266', '336', '287', '162', '368', '29', '36', '166', '362', '369', '374', '128', '189', '350']
['264', '120', '251', '77', '171', '82', '316', '125', '391', '24', '51', '5', '234', '13', '121', '98']
['84', '186', '223', '184', '163', '364', '347', '169', '205', '341', '325', '202', '216', '206', '6', '109']
['106', '81', '10', '179', '281', '138', '276', '385', '283', '79', '221', '165', '83', '181', '226', '357']
['307', '97', '127', '90', '94', '146', '329', '229', '220', '259', '170', '290', '188', '199', '34', '360']
['372', '158', '257', '292', '247', '367', '239', '295', '134', '304', '129', '300', '348', '322', '104', '70']
['291', '324', '311', '95', '191', '7', '74', '164', '214', '349', '57', '245', '228', '58', '174', '30']
['187', '53', '117', '64', '386', '400', '175', '378', '237', '389', '346', '231', '122', '75', '345', '152']
['103', '267', '356', '78', '110', '211', '145', '148', '71', '233', '25', '116', '50', '42', '137', '28']
['108', '302', '12', '343', '333', '380', '157', '89', '61', '16', '39', '390', '19', '144', '208', '72']
['278', '142', '207', '361', '40', '73', '114', '3', '238', '21', '242', '398', '297', '17', '272', '96']
['265', '315', '382', '217', '330', '153', '68', '35', '201', '32', '225', '183', '236', '178', '192', '102']
['23', '299', '182', '113', '312', '395', '59', '26', '200', '235', '256', '115', '359', '190', '309', '275']
['209', '54', '119', '327', '18', '279', '141', '381', '43', '112', '107', '355', '132', '261', '99', '397']
['47', '399', '253', '48', '92', '67', '268', '313', '93', '371', '252', '69', '31', '219', '274', '111']
['160', '4', '2', '320', '331', '306', '303', '258', '213', '284', '62', '366', '255', '196', '55', '11']
['91', '393', '203', '9', '277', '193', '254', '151', '249', '52', '161', '159', '384', '131', '335', '294']
['241', '340', '243', '22', '197', '323', '305', '314', '328', '147', '63', '130', '273', '298', '271', '88']
['172', '218', '230', '139', '288', '87', '224', '86', '20', '332', '377', '240', '14', '38', '363', '326']
['180', '136', '248', '370', '334', '358', '289', '285', '143', '301', '352', '222', '293', '33', '308', '194']
['65', '76', '49', '296', '156', '41', '319', '168', '262', '280', '263', '140', '133', '244', '260', '204']
