['154', '153', '158', '159', '152', '151', '370', '380', '155', '300']
['133', '139', '450', '137', '211', '20', '131', '180', '422', '136']
['24', '27', '29', '21', '271', '28', '410', '26', '332', '25']
['236', '70', '372', '237', '363', '230', '232', '113', '233', '150']
['361', '360', '11', '367', '466', '319', '434', '365', '366', '411']
['170', '177', '175', '216', '376', '172', '178', '235', '179', '174']
['493', '490', '498', '494', '499', '160', '73', '496', '157', '339']
['220', '254', '224', '225', '354', '176', '227', '229', '221', '280']
['460', '120', '468', '418', '61', '469', '463', '96', '462', '261']
['272', '142', '480', '277', '201', '268', '274', '278', '270', '497']
['263', '269', '266', '285', '33', '262', '267', '41', '260', '83']
['416', '412', '145', '415', '419', '215', '473', '414', '413', '241']
['217', '214', '213', '212', '114', '219', '442', '210', '218', '99']
['333', '337', '330', '338', '491', '335', '182', '340', '322', '331']
['313', '311', '420', '318', '317', '44', '51', '310', '315', '314']
['111', '305', '124', '110', '116', '304', '115', '119', '345', '118']
['19', '16', '12', '190', '197', '17', '15', '18', '13', '10']
['381', '385', '384', '382', '387', '92', '386', '383', '388', '481']
['117', '185', '112', '477', '226', '223', '193', '198', '199', '196']
['487', '484', '397', '483', '482', '485', '488', '53', '486', '250']
['156', '343', '222', '283', '63', '403', '406', '293', '297', '298']
['289', '288', '134', '301', '286', '287', '284', '281', '282', '23']
['85', '81', '82', '256', '87', '423', '89', '80', '49', '409']
['164', '453', '162', '392', '253', '167', '169', '203', '168', '163']
['371', '378', '377', '471', '373', '379', '42', '171', '161', '316']
['60', '65', '69', '62', '64', '228', '374', '375', '495', '352']
['353', '359', '91', '476', '194', '356', '351', '355', '350', '357']
['291', '299', '30', '292', '290', '78', '192', '294', '295', '296']
['0', '6', '7', '1', '8', '2', '4', '173', '342', '425']
['79', '75', '77', '492', '74', '144', '446', '76', '72', '306']
['132', '138', '130', '125', '135', '394', '424', '427', '421', '358']
['55', '58', '50', '59', '57', '56', '52', '54', '362', '417']
['348', '347', '341', '346', '344', '464', '349', '273', '279', '276']
['231', '432', '238', '234', '22', '242', '71', '336', '429', '428']
['252', '109', '258', '259', '255', '389', '183', '181', '303', '307']
['200', '204', '441', '207', '209', '205', '208', '445', '206', '127']
['402', '400', '408', '401', '404', '407', '405', '489', '312', '46']
['395', '390', '391', '398', '399', '447', '393', '396', '264', '265']
['14', '165', '40', '48', '47', '43', '452', '456', '461', '467']
['368', '364', '239', '188', '187', '184', '189', '334', '426', '105']
['243', '246', '247', '275', '248', '195', '240', '245', '244', '436']
['433', '437', '430', '431', '439', '438', '435', '191', '309', '308']
['39', '45', '302', '35', '32', '34', '31', '37', '36', '38']
['475', '455', '479', '478', '470', '474', '3', '5', '9', '369']
['121', '128', '126', '129', '122', '95', '123', '328', '325', '249']
['320', '323', '326', '329', '321', '186', '327', '324', '465', '166']
['444', '440', '443', '449', '448', '141', '146', '66', '68', '67']
['88', '86', '84', '104', '102', '106', '108', '101', '103', '100']
['472', '251', '90', '98', '93', '94', '147', '107', '97', '257']
['451', '459', '458', '454', '140', '143', '149', '148', '202', '457']
