['269', '271', '264', '257']
['158', '155', '153', '159']
['135', '126', '130', '134']
['473', '485', '477', '476']
['318', '319', '327', '315']
['77', '65', '73', '79']
['118', '115', '113', '127']
['493', '495', '489', '488']
['337', '340', '349', '342']
['441', '453', '446', '445']
['462', '457', '463', '459']
['37', '39', '32', '25']
['391', '390', '389', '382']
['454', '455', '449', '451']
['189', '177', '185', '184']
['341', '336', '329', '343']
['121', '124', '133', '125']
['214', '223', '211', '215']
['81', '86', '85', '93']
['175', '170', '173', '166']
['415', '414', '410', '413']
['237', '239', '232', '225']
['353', '356', '365', '357']
['94', '95', '91', '103']
['137', '141', '142', '140']
['201', '204', '213', '206']
['9', '12', '13', '21']
['238', '235', '247', '233']
['470', '465', '467', '479']
['398', '395', '393', '399']
['190', '199', '187', '191']
['30', '31', '27', '147']
['383', '374', '378', '381']
['193', '198', '197', '205']
['377', '380', '354', '332']
['151', '146', '149', '150']
['70', '71', '67', '228']
['263', '262', '254', '258']
['241', '253', '246', '245']
['375', '373', '366', '370']
['325', '321', '320', '313']
['33', '45', '38', '36']
['481', '484', '486', '371']
['405', '400', '407', '401']
['310', '305', '307', '311']
['167', '165', '162', '299']
['46', '55', '41', '47']
['221', '217', '216', '209']
['350', '359', '347', '345']
['6', '7', '1', '3']
['109', '111', '104', '105']
['145', '148', '157', '90']
['409', '412', '421', '435']
['423', '418', '422', '363']
['129', '132', '256', '10']
['61', '56', '63', '49']
['333', '335', '328', '448']
['102', '99', '97', '324']
['303', '294', '301', '302']
['87', '78', '82', '8']
['119', '114', '110', '117']
['62', '59', '57', '283']
['161', '164', '419', '404']
['182', '179', '183', '387']
['249', '252', '261', '339']
['229', '224', '231', '83']
['334', '331', '100', '188']
['279', '277', '278', '270']
['169', '172', '181', '174']
['361', '364', '88', '443']
['431', '426', '430', '429']
['351', '346', '108', '136']
['281', '284', '293', '286']
['385', '388', '397', '304']
['369', '372', '260', '58']
['101', '96', '89', '267']
['255', '250', '280', '68']
['425', '437', '428', '200']
['22', '19', '17', '23']
['287', '282', '285', '72']
['297', '300', '309', '490']
['230', '227', '180', '192']
['54', '51', '176', '80']
['439', '438', '434', '306']
['487', '478', '482', '139']
['14', '11', '15', '106']
['273', '276', '123', '344']
['417', '420', '392', '452']
['289', '292', '66', '248']
['222', '219', '472', '408']
['53', '48', '210', '20']
['29', '24', '242', '156']
['433', '436', '402', '360']
['317', '312', '240', '244']
['295', '290', '236', '84']
['471', '469', '466', '120']
['461', '456', '316', '338']
['447', '442', '259', '74']
['69', '64', '168', '368']
['326', '323', '34', '243']
['367', '362', '358', '492']
['207', '202', '322', '226']
['406', '403', '424', '483']
['265', '268', '128', '2']
['143', '138', '42', '468']
['5', '0', '152', '107']
['494', '491', '35', '234']
['394', '208', '116', '76']
['60', '266', '28', '298']
['379', '272', '92', '480']
['163', '427', '352', '458']
['171', '288', '18', '178']
['376', '384', '44', '355']
['432', '291', '275', '251']
['220', '196', '112', '186']
['16', '444', '122', '52']
['195', '4', '40', '131']
['348', '160', '450', '203']
['75', '43', '440', '194']
['50', '416', '154', '464']
['460', '386', '274', '212']
['26', '474', '411', '330']
['314', '396', '218', '475']
['144', '98', '296', '308']
