['235', '184', '484', '498', '385']
['141', '360', '261', '480', '380']
['180', '305', '371', '265', '313']
['19', '116', '298', '361', '252']
['257', '458', '146', '218', '51']
['445', '266', '405', '324', '36']
['203', '42', '310', '96', '14']
['127', '90', '28', '286', '485']
['158', '159', '210', '399', '300']
['155', '2', '101', '280', '227']
['81', '75', '85', '26', '231']
['30', '214', '329', '491', '489']
['426', '15', '471', '476', '54']
['465', '428', '452', '249', '436']
['390', '377', '188', '114', '118']
['217', '99', '292', '121', '10']
['442', '430', '414', '94', '78']
['270', '427', '355', '248', '107']
['150', '413', '448', '387', '264']
['89', '71', '181', '472', '219']
['232', '287', '163', '117', '115']
['469', '8', '281', '395', '134']
['140', '133', '357', '478', '197']
['326', '397', '31', '103', '496']
['337', '488', '93', '288', '100']
['409', '204', '461', '80', '344']
['268', '187', '109', '147', '237']
['255', '338', '246', '178', '309']
['186', '277', '328', '195', '272']
['97', '43', '132', '243', '17']
['138', '420', '440', '240', '242']
['192', '354', '343', '393', '432']
['486', '39', '66', '157', '234']
['401', '356', '20', '293', '462']
['110', '373', '410', '201', '333']
['330', '142', '372', '216', '263']
['148', '404', '464', '340', '320']
['32', '50', '53', '279', '402']
['198', '285', '306', '459', '444']
['473', '168', '364', '126', '475']
['37', '332', '11', '164', '60']
['314', '153', '350', '289', '70']
['144', '253', '429', '431', '108']
['206', '299', '224', '131', '123']
['325', '128', '143', '267', '193']
['396', '175', '308', '283', '311']
['322', '447', '194', '497', '35']
['323', '230', '295', '381', '383']
['453', '284', '162', '166', '233']
['335', '451', '499', '125', '7']
['40', '73', '347', '301', '331']
['124', '3', '341', '23', '111']
['422', '370', '236', '136', '95']
['455', '1', '112', '424', '417']
['492', '0', '209', '418', '173']
['122', '460', '169', '342', '62']
['394', '91', '316', '229', '302']
['376', '269', '339', '65', '41']
['454', '16', '282', '33', '262']
['348', '88', '254', '276', '244']
['213', '69', '21', '318', '419']
['151', '207', '406', '135', '247']
['457', '77', '241', '353', '439']
['4', '389', '13', '63', '156']
['160', '294', '416', '470', '482']
['38', '493', '375', '137', '29']
['423', '251', '358', '165', '483']
['495', '189', '86', '291', '199']
['61', '317', '441', '449', '167']
['185', '58', '273', '177', '327']
['44', '27', '315', '9', '49']
['303', '46', '467', '212', '222']
['411', '139', '334', '104', '120']
['245', '468', '336', '57', '226']
['83', '176', '425', '351', '191']
['72', '179', '260', '271', '433']
['225', '130', '221', '463', '76']
['407', '369', '435', '25', '474']
['82', '398', '202', '374', '378']
['238', '312', '5', '6', '258']
['190', '384', '154', '145', '346']
['12', '386', '274', '34', '345']
['92', '349', '443', '129', '106']
['321', '400', '45', '152', '446']
['367', '211', '47', '256', '171']
['421', '379', '87', '352', '105']
['456', '290', '149', '466', '196']
['67', '412', '382', '368', '48']
['487', '250', '113', '18', '434']
['438', '79', '170', '275', '259']
['102', '450', '215', '56', '437']
['388', '359', '172', '481', '220']
['64', '55', '239', '119', '200']
['391', '477', '304', '296', '161']
['24', '363', '68', '182', '74']
['415', '205', '490', '307', '208']
['223', '408', '297', '228', '365']
['392', '366', '59', '319', '52']
['174', '98', '278', '84', '403']
['22', '494', '362', '479', '183']
