['274', '269', '27', '135', '227', '351', '353', '380', '155', '101', '318', '270', '150', '77', '171', '63', '337', '364', '354', '283', '149', '123', '305', '357', '189']
['169', '312', '60', '195', '396', '97', '324', '315', '281', '118', '316', '331', '278', '387', '321', '343', '83', '326', '214', '116', '175', '247', '367', '239', '134']
['38', '368', '186', '379', '302', '138', '376', '347', '362', '37', '369', '113', '170', '13', '121', '390', '188', '314', '237', '304', '58', '389', '348', '267', '174']
['272', '154', '90', '339', '338', '220', '24', '122', '370', '245', '228', '94', '104', '246', '89', '231', '75', '50', '114', '137', '19', '9', '327', '200', '320']
['215', '394', '158', '341', '81', '333', '16', '374', '300', '346', '395', '78', '26', '241', '21', '183', '49', '242', '266', '190', '297', '73', '277', '375', '286']
['356', '52', '397', '105', '179', '223', '68', '345', '201', '238', '398', '148', '198', '59', '80', '193', '54', '306', '139', '254', '106', '133', '288', '70', '382']
['271', '385', '57', '284', '287', '230', '157', '43', '67', '184', '103', '187', '206', '86', '248', '263', '30', '213', '11', '225', '4', '172', '160', '109', '366']
['372', '317', '163', '205', '399', '72', '191', '234', '212', '383', '3', '196', '289', '20', '293', '33', '48', '156', '126', '162', '240', '349', '14', '12', '360']
['329', '255', '22', '53', '17', '146', '235', '291', '264', '285', '335', '182', '386', '46', '273', '332', '280', '47', '244', '10', '124', '120', '15', '392', '66']
['275', '144', '232', '192', '98', '199', '256', '250', '40', '252', '260', '276', '125', '176', '74', '310', '393', '167', '388', '282', '117', '311', '177', '85', '29']
['141', '344', '328', '100', '88', '108', '222', '180', '8', '365', '342', '1', '257', '243', '166', '265', '115', '5', '164', '165', '202', '216', '350', '290', '34']
['301', '391', '93', '151', '84', '82', '229', '221', '6', '378', '145', '295', '129', '127', '336', '64', '323', '152', '35', '28', '107', '39', '32', '0', '384']
['173', '161', '325', '299', '210', '44', '373', '259', '233', '42', '359', '18', '236', '211', '197', '178', '309', '96', '7', '92', '79', '102', '268', '132', '99']
['209', '91', '130', '45', '95', '181', '226', '330', '25', '51', '61', '208', '352', '76', '142', '185', '313', '251', '303', '371', '69', '355', '111', '258', '136']
['261', '71', '2', '217', '31', '119', '112', '296', '340', '131', '307', '110', '153', '298', '279', '143', '361', '262', '308', '41', '65', '23', '87', '322', '159']
['168', '56', '140', '292', '62', '204', '381', '203', '294', '358', '319', '194', '334', '55', '249', '218', '224', '147', '377', '36', '128', '219', '363', '253', '207']
