['40', '116', '120', '175', '240', '16', '133', '153', '85', '178']
['222', '6', '109', '186', '25', '78', '195', '28', '73', '131']
['244', '68', '50', '159', '168', '61', '87', '227', '220', '226']
['52', '190', '247', '8', '35', '57', '176', '197', '134', '155']
['237', '45', '98', '138', '135', '74', '191', '235', '59', '127']
['203', '204', '71', '139', '95', '208', '223', '166', '96', '32']
['124', '147', '128', '114', '17', '219', '154', '54', '0', '233']
['51', '81', '158', '69', '37', '108', '77', '173', '47', '180']
['103', '58', '162', '143', '75', '105', '215', '122', '207', '184']
['97', '30', '22', '112', '151', '238', '163', '66', '83', '202']
['121', '185', '225', '201', '33', '123', '149', '84', '119', '243']
['183', '152', '199', '239', '172', '21', '19', '196', '23', '82']
['181', '55', '177', '93', '100', '63', '136', '165', '31', '205']
['189', '12', '106', '170', '141', '211', '228', '187', '62', '18']
['214', '1', '160', '148', '169', '193', '104', '115', '234', '27']
['89', '145', '34', '5', '9', '46', '43', '146', '94', '132']
['86', '137', '88', '221', '167', '231', '13', '248', '156', '246']
['126', '44', '182', '118', '216', '110', '150', '102', '140', '164']
['14', '245', '200', '232', '241', '229', '218', '3', '107', '188']
['171', '210', '80', '64', '38', '56', '36', '24', '142', '53']
['213', '212', '70', '111', '4', '48', '72', '117', '179', '65']
['10', '249', '26', '41', '161', '242', '157', '42', '224', '92']
['198', '99', '236', '60', '125', '2', '79', '144', '67', '11']
['194', '20', '113', '174', '209', '91', '217', '76', '39', '130']
['90', '15', '129', '192', '49', '101', '206', '29', '230', '7']
