['269', '268', '270', '214', '215', '213', '133', '132', '134', '108', '109', '107', '271', '272', '218', '217', '479', '480', '459', '460', '110', '197', '77', '165', '335']
['394', '395', '393', '81', '82', '80', '151', '152', '150', '260', '259', '261', '250', '251', '249', '299', '300', '298', '139', '140', '483', '482', '364', '128', '273']
['27', '28', '26', '175', '176', '174', '457', '458', '456', '180', '181', '179', '359', '360', '358', '90', '91', '247', '246', '248', '2', '1', '432', '92', '177']
['60', '61', '59', '415', '416', '414', '312', '311', '88', '87', '89', '466', '465', '467', '204', '253', '252', '254', '452', '453', '25', '24', '341', '157', '85']
['155', '154', '156', '195', '194', '196', '206', '207', '205', '436', '437', '435', '185', '186', '184', '279', '278', '280', '225', '224', '226', '309', '310', '489', '232']
['318', '317', '319', '353', '352', '354', '284', '283', '285', '405', '404', '406', '18', '19', '17', '169', '170', '57', '56', '58', '277', '378', '379', '411', '498', '497']
['163', '164', '162', '94', '95', '93', '263', '262', '264', '434', '433', '34', '35', '33', '381', '361', '362', '267', '266', '199', '198', '200', '16', '62', '468']
['118', '119', '117', '130', '129', '131', '291', '292', '290', '167', '168', '166', '333', '332', '334', '10', '9', '104', '105', '417', '418', '355', '356', '245', '216']
['493', '492', '494', '75', '74', '76', '241', '240', '242', '123', '124', '423', '424', '422', '147', '146', '148', '68', '69', '289', '288', '52', '389', '371', '114']
['337', '336', '338', '50', '51', '49', '444', '443', '445', '485', '484', '486', '96', '97', '182', '183', '491', '490', '172', '173', '171', '345', '320', '71', '32']
['64', '65', '63', '137', '138', '136', '4', '5', '3', '66', '67', '322', '323', '321', '294', '295', '293', '286', '287', '407', '208', '209', '141', '363', '178']
['376', '375', '377', '314', '315', '313', '328', '329', '327', '472', '473', '495', '496', '305', '306', '304', '339', '340', '366', '365', '367', '413', '70', '8', '258']
['347', '346', '348', '21', '20', '22', '160', '159', '161', '402', '403', '401', '275', '276', '274', '431', '430', '429', '487', '488', '39', '40', '48', '149', '388']
['441', '442', '440', '470', '471', '469', '43', '42', '44', '236', '235', '237', '102', '103', '307', '308', '369', '368', '370', '222', '223', '464', '349', '357', '265']
['462', '461', '463', '477', '478', '476', '126', '127', '125', '316', '409', '408', '410', '420', '421', '419', '343', '344', '342', '438', '439', '153', '474', '380', '23']
['37', '36', '38', '144', '143', '145', '325', '324', '326', '46', '45', '47', '79', '78', '228', '227', '229', '297', '296', '455', '454', '475', '396', '425', '41']
['220', '219', '221', '398', '397', '399', '386', '387', '385', '373', '374', '372', '331', '330', '302', '303', '301', '230', '231', '243', '244', '158', '98', '412', '446']
['391', '390', '392', '30', '31', '29', '12', '13', '11', '282', '281', '116', '115', '450', '449', '451', '83', '84', '14', '15', '400', '135', '481', '86', '0']
['189', '188', '190', '383', '384', '382', '256', '255', '257', '202', '201', '203', '112', '111', '113', '351', '350', '192', '193', '191', '234', '233', '142', '106', '499']
['121', '120', '122', '427', '428', '426', '100', '99', '101', '6', '7', '73', '72', '239', '238', '448', '447', '54', '55', '53', '211', '210', '212', '187']
