['202', '120', '220', '44', '176', '216', '289', '50', '99', '177']
['265', '192', '217', '267', '253', '28', '72', '200', '111', '85']
['155', '128', '243', '105', '257', '264', '278', '183', '62', '162']
['93', '294', '181', '229', '285', '70', '81', '148', '131', '82']
['252', '5', '20', '215', '180', '273', '245', '235', '299', '115']
['226', '102', '30', '291', '205', '35', '254', '36', '33', '211']
['173', '94', '73', '134', '96', '242', '47', '59', '86', '12']
['286', '178', '9', '117', '209', '250', '67', '49', '227', '255']
['17', '146', '95', '140', '110', '15', '244', '151', '186', '64']
['141', '116', '282', '51', '171', '76', '97', '118', '195', '152']
['213', '69', '208', '268', '174', '210', '266', '196', '165', '32']
['29', '204', '262', '121', '123', '145', '55', '156', '179', '271']
['280', '214', '144', '7', '277', '114', '31', '126', '57', '198']
['8', '45', '168', '3', '190', '219', '163', '240', '239', '100']
['164', '170', '142', '236', '191', '160', '281', '194', '53', '275']
['34', '78', '222', '251', '127', '26', '283', '14', '246', '38']
['292', '185', '42', '206', '296', '157', '136', '40', '231', '154']
['218', '158', '80', '10', '16', '133', '37', '125', '232', '274']
['108', '153', '13', '18', '300', '88', '113', '52', '238', '91']
['159', '184', '212', '135', '21', '84', '189', '287', '201', '119']
['207', '58', '68', '54', '139', '43', '79', '167', '272', '112']
['60', '48', '233', '261', '288', '182', '83', '65', '61', '147']
['101', '11', '6', '104', '103', '71', '122', '221', '230', '130']
['77', '143', '1', '258', '98', '19', '279', '197', '263', '132']
['138', '23', '237', '2', '166', '228', '223', '129', '293', '90']
['24', '124', '46', '39', '92', '4', '234', '259', '63', '66']
['175', '193', '248', '27', '290', '137', '89', '25', '256', '298']
['241', '269', '199', '225', '187', '249', '284', '109', '106', '169']
['22', '149', '224', '270', '295', '161', '203', '247', '260', '41']
['172', '150', '56', '74', '107', '297', '75', '188', '276', '87']
