['398', '269', '394', '158', '186', '389', '420', '154', '439', '60', '195', '353', '97', '318', '479', '270', '150', '302', '77', '171', '281', '424', '470']
['466', '457', '135', '52', '351', '317', '324', '379', '182', '118', '337', '138', '364', '385', '419', '287', '347', '491', '441', '462', '387', '37', '403']
['417', '27', '322', '473', '155', '496', '274', '436', '354', '278', '149', '123', '432', '338', '401', '113', '24', '454', '189', '321', '343', '170', '83']
['130', '499', '431', '305', '316', '493', '396', '376', '105', '220', '357', '341', '13', '121', '434', '179', '333', '16', '122', '415', '75', '239', '370']
['249', '277', '227', '289', '331', '404', '339', '409', '326', '390', '57', '245', '374', '134', '304', '300', '348', '267', '223', '94', '246', '89', '231']
['136', '286', '455', '369', '206', '214', '175', '188', '451', '443', '237', '495', '174', '346', '68', '50', '35', '78', '392', '19', '460', '9', '26']
['0', '461', '481', '228', '58', '104', '425', '412', '345', '137', '484', '201', '200', '421', '477', '144', '320', '72', '422', '490', '430', '190', '297']
['413', '448', '101', '283', '397', '395', '238', '264', '402', '480', '183', '49', '242', '414', '266', '399', '163', '447', '272', '230', '198', '59', '157']
['280', '63', '365', '463', '330', '241', '21', '472', '408', '17', '141', '381', '80', '234', '427', '486', '54', '464', '306', '139', '438', '93', '106']
['482', '314', '380', '429', '327', '456', '459', '254', '184', '212', '383', '151', '444', '312', '382', '187', '452', '328', '284', '263', '160', '213', '225']
['18', '90', '498', '478', '255', '368', '73', '192', '191', '43', '288', '4', '102', '291', '476', '453', '11', '70', '172', '335', '33', '467', '497']
['62', '315', '375', '67', '235', '103', '3', '30', '285', '20', '48', '156', '469', '126', '240', '46', '14', '199', '329', '273', '256', '100', '38']
['161', '411', '319', '391', '81', '114', '442', '193', '232', '133', '86', '196', '366', '162', '325', '386', '98', '12', '360', '40', '168', '88', '487']
['282', '148', '465', '344', '211', '293', '349', '271', '250', '252', '108', '260', '222', '244', '10', '120', '8', '494', '125', '176', '215', '299', '15']
['290', '426', '416', '405', '332', '276', '180', '124', '74', '310', '342', '356', '66', '210', '388', '177', '29', '257', '82', '95', '433', '265', '221']
['450', '428', '406', '488', '248', '474', '84', '485', '167', '311', '243', '373', '115', '165', '181', '350', '226', '483', '6', '109', '34', '471', '129']
['363', '437', '116', '247', '377', '400', '393', '117', '1', '5', '164', '492', '202', '216', '423', '295', '259', '127', '336', '449', '64', '51', '152']
['194', '76', '53', '85', '166', '145', '418', '87', '42', '61', '208', '28', '39', '32', '489', '298', '359', '44', '458', '197', '178', '217', '309']
['261', '203', '47', '475', '446', '362', '25', '323', '219', '107', '352', '236', '96', '275', '128', '92', '79', '56', '355', '132', '313', '55', '303']
['372', '334', '233', '468', '185', '7', '378', '367', '99', '140', '371', '111', '91', '119', '218', '445', '22', '159', '296', '131', '294', '207', '173']
['110', '407', '229', '142', '251', '69', '292', '258', '204', '112', '340', '410', '36', '45', '153', '358', '2', '440', '279', '169', '143', '361', '262']
['224', '384', '146', '31', '147', '253', '209', '65', '301', '435', '308', '23', '41', '307', '268', '205', '71']
