['328', '484', '437', '142', '480', '394', '436', '398', '52', '178']
['9', '269', '359', '499', '27', '25', '458', '404', '406', '123']
['24', '356', '287', '44', '447', '309', '275', '7', '393', '182']
['244', '318', '18', '368', '203', '434', '60', '96', '307', '59']
['210', '365', '430', '494', '297', '353', '277', '439', '374', '331']
['362', '120', '158', '12', '211', '405', '215', '372', '479', '449']
['223', '490', '197', '163', '351', '485', '66', '280', '489', '54']
['212', '441', '267', '135', '312', '46', '198', '38', '313', '455']
['157', '128', '336', '254', '150', '247', '486', '286', '311', '177']
['321', '186', '30', '101', '310', '448', '141', '375', '456', '383']
['369', '74', '272', '473', '496', '192', '422', '261', '122', '55']
['22', '266', '324', '327', '102', '16', '306', '493', '397', '1']
['386', '145', '176', '454', '80', '167', '67', '284', '132', '402']
['428', '8', '236', '338', '379', '387', '56', '465', '478', '282']
['425', '124', '431', '289', '217', '15', '3', '427', '251', '85']
['26', '462', '230', '367', '337', '303', '93', '69', '87', '373']
['84', '43', '118', '140', '377', '364', '419', '149', '457', '274']
['463', '5', '438', '133', '238', '111', '283', '187', '179', '189']
['73', '323', '488', '239', '248', '376', '70', '292', '113', '164']
['110', '125', '475', '17', '195', '117', '138', '396', '288', '221']
['214', '155', '146', '290', '139', '316', '355', '433', '296', '166']
['240', '354', '227', '432', '205', '136', '202', '291', '445', '175']
['466', '233', '234', '407', '418', '305', '257', '483', '154', '23']
['411', '381', '252', '344', '382', '144', '218', '255', '119', '333']
['452', '472', '281', '498', '106', '243', '342', '413', '204', '408']
['105', '346', '264', '270', '29', '444', '370', '181', '161', '241']
['34', '185', '79', '77', '171', '464', '371', '130', '220', '474']
['268', '92', '99', '453', '440', '299', '409', '492', '83', '350']
['401', '91', '343', '235', '37', '232', '81', '415', '285', '4']
['20', '184', '95', '151', '384', '279', '345', '6', '213', '224']
['487', '162', '329', '339', '317', '426', '395', '57', '86', '423']
['229', '53', '45', '349', '51', '160', '206', '451', '443', '147']
['358', '420', '109', '58', '36', '190', '295', '271', '40', '314']
['237', '468', '246', '82', '491', '98', '335', '129', '48', '424']
['259', '143', '121', '131', '33', '332', '467', '421', '126', '325']
['42', '459', '461', '219', '278', '476', '112', '172', '388', '302']
['71', '97', '385', '193', '165', '389', '249', '2', '61', '148']
['47', '94', '341', '378', '174', '416', '199', '469', '334', '399']
['35', '497', '104', '68', '19', '446', '88', '301', '347', '10']
['315', '392', '361', '340', '228', '366', '273', '256', '76', '442']
['293', '170', '64', '89', '116', '294', '298', '100', '21', '41']
['201', '188', '226', '450', '357', '265', '231', '153', '360', '308']
['260', '300', '156', '50', '460', '191', '326', '103', '72', '276']
['250', '304', '414', '90', '114', '208', '28', '168', '348', '352']
['363', '412', '435', '137', '108', '49', '253', '14', '390', '152']
['183', '196', '225', '417', '477', '242', '262', '410', '380', '63']
['470', '107', '495', '180', '322', '11', '169', '200', '127', '258']
['194', '216', '134', '0', '209', '32', '31', '482', '115', '207']
['173', '62', '471', '330', '39', '481', '75', '245', '78', '319']
['391', '400', '222', '320', '429', '263', '13', '65', '159', '403']
