['245', '124', '120', '158', '139', '190', '236', '44', '238', '5']
['31', '214', '17', '60', '195', '96', '155', '213', '163', '56']
['6', '13', '185', '8', '231', '221', '15', '128', '146', '222']
['151', '142', '186', '135', '176', '227', '169', '101', '191', '150']
['21', '219', '125', '148', '234', '141', '53', '145', '171', '118']
['209', '204', '18', '197', '66', '59', '184', '7', '247', '117']
['12', '27', '80', '67', '54', '143', '93', '162', '212', '127']
['130', '140', '203', '230', '79', '102', '132', '225', '82', '166']
['86', '126', '97', '154', '198', '85', '106', '149', '74', '243']
['170', '73', '215', '210', '55', '29', '235', '95', '43', '220']
['14', '193', '64', '133', '52', '111', '113', '24', '189', '164']
['123', '192', '92', '248', '40', '205', '89', '181', '16', '34']
['129', '167', '70', '179', '62', '217', '22', '4', '134', '63']
['25', '109', '112', '38', '107', '0', '30', '175', '122', '249']
['232', '239', '224', '160', '45', '57', '182', '207', '94', '240']
['237', '32', '87', '37', '187', '77', '119', '196', '159', '156']
['233', '165', '83', '216', '161', '81', '68', '172', '33', '58']
['147', '199', '206', '121', '178', '75', '223', '173', '36', '50']
['131', '242', '188', '138', '115', '202', '201', '98', '229', '137']
['244', '226', '200', '177', '69', '3', '218', '48', '51', '19']
['144', '228', '91', '241', '11', '1', '100', '26', '168', '108']
['194', '23', '136', '211', '174', '2', '103', '72', '39', '88']
['157', '90', '46', '110', '114', '41', '9', '84', '152', '71']
['28', '153', '42', '78', '208', '49', '116', '35', '104', '180']
['246', '20', '65', '61', '76', '10', '47', '105', '183', '99']
