['0', '269', '394', '158', '27', '135', '60', '155', '318', '379']
['1', '163', '77', '171', '118', '337', '364', '376', '347', '105']
['2', '123', '37', '220', '391', '24', '189', '341', '121', '214']
['16', '81', '175', '351', '134', '228', '389', '348', '223', '94']
['19', '130', '75', '50', '78', '201', '9', '26', '238', '241']
['21', '144', '320', '266', '190', '383', '272', '141', '193', '93']
['4', '377', '133', '288', '151', '312', '382', '206', '86', '284']
['12', '263', '291', '314', '196', '375', '70', '328', '160', '48']
['8', '126', '325', '63', '386', '46', '396', '98', '385', '256']
['6', '100', '38', '88', '108', '260', '280', '180', '125', '176']
['18', '215', '310', '365', '392', '66', '210', '282', '311', '329']
['5', '316', '349', '373', '374', '221', '259', '165', '202', '350']
['10', '109', '290', '145', '34', '129', '322', '51', '390', '128']
['13', '42', '152', '35', '61', '28', '73', '157', '235', '233']
['17', '384', '271', '352', '250', '359', '185', '44', '217', '333']
['11', '96', '275', '323', '7', '79', '331', '56', '132', '188']
['20', '305', '303', '249', '371', '252', '355', '31', '154', '274']
['14', '111', '91', '362', '313', '62', '248', '3', '204', '55']
['15', '159', '296', '147', '182', '294', '332', '237', '307', '229']
['22', '302', '299', '90', '71', '222', '334', '319', '253', '279']
['23', '127', '169', '244', '361', '262', '363', '84', '87', '368']
['25', '186', '321', '195', '353', '97', '324', '270', '150', '281']
['29', '138', '354', '283', '149', '339', '369', '113', '357', '343']
['30', '170', '83', '119', '247', '122', '57', '239', '245', '304']
['32', '58', '300', '267', '174', '101', '255', '104', '246', '89']
['33', '231', '68', '218', '137', '286', '200', '183', '72', '242']
['36', '53', '297', '230', '192', '59', '327', '80', '67', '54']
['39', '306', '139', '254', '106', '344', '278', '187', '179', '161']
['40', '264', '213', '225', '285', '172', '335', '293', '156', '240']
['41', '199', '273', '289', '168', '49', '47', '276', '315', '124']
['43', '120', '338', '74', '356', '287', '146', '167', '117', '177']
['45', '85', '162', '257', '82', '95', '243', '52', '166', '342']
['64', '326', '116', '232', '298', '203', '191', '102', '219', '227']
['65', '277', '115', '205', '197', '164', '181', '226', '153', '265']
['69', '295', '216', '114', '208', '148', '107', '76', '198', '292']
['92', '142', '236', '178', '234', '268', '261', '99', '251', '140']
['103', '258', '136', '224', '112', '131', '207', '194', '184', '173']
['110', '211', '212', '143', '209', '360', '370', '387', '393', '397']
['301', '309', '330', '340', '346', '366', '372', '380', '378', '398']
['308', '317', '336', '345', '358', '367', '381', '395', '388', '399']
