['24', '269', '158', '27', '135', '305', '154', '60', '195', '97', '155', '223', '289', '270', '150']
['13', '302', '77', '171', '281', '118', '138', '278', '287', '149', '123', '37', '220', '113', '189']
['16', '170', '83', '121', '206', '214', '116', '175', '122', '75', '239', '245', '134', '228', '58']
['2', '300', '267', '174', '101', '94', '104', '199', '89', '231', '68', '50', '35', '78', '232']
['9', '298', '238', '264', '201', '144', '183', '72', '242', '266', '190', '203', '297', '73', '163']
['26', '272', '230', '141', '59', '191', '80', '193', '67', '200', '54', '306', '139', '93', '106']
['21', '133', '288', '235', '151', '70', '102', '187', '179', '172', '284', '263', '291', '160', '241']
['19', '196', '30', '213', '225', '240', '285', '86', '219', '286', '293', '33', '48', '156', '126']
['22', '162', '63', '46', '98', '244', '273', '256', '100', '38', '40', '168', '88', '108', '243']
['17', '260', '280', '47', '276', '49', '124', '120', '125', '176', '74', '215', '227', '299', '277']
['11', '274', '53', '66', '167', '210', '282', '117', '177', '85', '29', '257', '82', '95', '36']
['4', '166', '229', '115', '205', '197', '164', '165', '202', '181', '226', '221', '109', '217', '145']
['20', '153', '34', '265', '237', '295', '129', '259', '127', '64', '51', '84', '81', '216', '42']
['14', '152', '114', '192', '61', '208', '28', '148', '186', '157', '107', '39', '32', '253', '271']
['12', '76', '198', '292', '142', '185', '236', '44', '178', '43', '96', '275', '128', '56', '92']
['10', '290', '79', '234', '247', '268', '132', '261', '188', '99', '251', '303', '140', '249', '252']
['8', '69', '31', '57', '52', '262', '248', '111', '91', '255', '258', '119', '136', '62', '218']
['15', '161', '204', '55', '246', '159', '224', '112', '296', '147', '131', '182', '294', '207', '254']
['7', '130', '194', '184', '173', '304', '105', '211', '110', '212', '45', '90', '71', '222', '279']
['6', '169', '146', '180', '143', '283', '137', '301', '209', '250', '41', '65', '103', '87', '233']
['25', '3', '23', '0']
['18', '5', '1']
