['98', '158', '436', '176', '17', '142', '473', '128', '277', '161', '327', '198', '193', '427', '251', '93']
['457', '221', '135', '5', '434', '353', '94', '406', '7', '472', '210', '67', '261', '418', '337', '64']
['355', '269', '490', '18', '8', '494', '458', '178', '60', '307', '479', '146', '167', '489', '402', '396']
['214', '124', '480', '368', '211', '447', '351', '356', '393', '383', '234', '455', '397', '1', '29', '133']
['461', '398', '430', '420', '215', '310', '372', '141', '320', '438', '107', '268', '117', '139', '376', '95']
['123', '437', '441', '192', '456', '43', '305', '453', '140', '385', '69', '347', '483', '52', '283', '187']
['168', '236', '44', '462', '465', '132', '99', '371', '278', '491', '125', '411', '339', '220', '313', '357']
['84', '318', '53', '74', '230', '223', '488', '287', '56', '306', '375', '316', '149', '190', '346', '136']
['395', '454', '197', '275', '59', '379', '331', '475', '257', '31', '369', '239', '302', '409', '30', '16']
['209', '359', '195', '448', '422', '102', '54', '459', '85', '184', '414', '82', '57', '292', '170', '202']
['450', '338', '289', '96', '432', '270', '66', '118', '303', '219', '387', '37', '206', '3', '83', '333']
['341', '79', '77', '350', '264', '188', '443', '172', '131', '33', '451', '265', '110', '299', '90', '71']
['426', '217', '282', '374', '464', '159', '145', '466', '340', '86', '228', '129', '25', '101', '152', '137']
['495', '484', '321', '163', '309', '155', '80', '407', '248', '311', '177', '315', '162', '288', '222', '111']
['429', '175', '97', '254', '342', '476', '482', '112', '431', '366', '100', '169', '361', '308', '276', '10']
['62', '185', '297', '405', '485', '324', '171', '281', '55', '212', '186', '496', '274', '115', '113', '452']
['245', '392', '75', '12', '312', '410', '165', '6', '390', '423', '330', '237', '63', '389', '467', '267']
['179', '354', '227', '373', '241', '408', '48', '130', '174', '35', '334', '61', '208', '207', '200', '88']
['433', '120', '323', '391', '474', '343', '216', '204', '213', '225', '296', '70', '293', '487', '156', '229']
['238', '394', '266', '150', '486', '246', '106', '233', '232', '445', '384', '147', '335', '134', '471', '249']
['322', '470', '329', '252', '189', '492', '196', '109', '380', '104', '36', '46', '205', '291', '114', '19']
['154', '399', '15', '122', '91', '439', '42', '446', '348', '81', '47', '435', '294', '148', '463', '38']
['362', '280', '151', '119', '370', '381', '4', '68', '419', '442', '32', '326', '144', '23', '199', '285']
['58', '73', '290', '493', '332', '105', '477', '191', '194', '65', '481', '203', '301', '260', '103', '76']
['166', '400', '87', '284', '255', '295', '224', '160', '182', '127', '173', '425', '360', '469', '244', '363']
['181', '388', '317', '259', '226', '14', '412', '247', '367', '325', '386', '349', '231', '50', '218', '352']
['345', '121', '478', '416', '28', '468', '358', '2', '256', '460', '298', '235', '180', '242', '41', '45']
['116', '336', '11', '415', '34', '424', '157', '143', '328', '49', '401', '108', '126', '253', '26', '250']
['286', '24', '164', '20', '272', '382', '319', '271', '421', '72', '428', '92', '404', '417', '258', '240']
['365', '27', '377', '364', '440', '243', '344', '413', '300', '449', '51', '201', '39', '183', '21', '40']
['378', '263', '314', '22', '444', '304', '89', '78', '273', '279', '262', '403', '13', '9', '138', '153']
