['126', '269', '394', '27', '431', '389', '420', '60', '351', '448']
['496', '158', '186', '154', '439', '195', '353', '473', '97', '318']
['261', '135', '322', '52', '289', '270', '315', '281', '436', '138']
['168', '441', '455', '380', '155', '405', '150', '337', '365', '396']
['105', '321', '379', '77', '171', '118', '364', '354', '283', '205']
['290', '227', '316', '91', '443', '347', '462', '339', '369', '220']
['374', '302', '500', '493', '404', '362', '387', '319', '338', '305']
['109', '101', '479', '149', '37', '426', '24', '357', '189', '343']
['294', '163', '491', '113', '170', '83', '13', '121', '206', '214']
['129', '324', '182', '425', '385', '123', '341', '461', '175', '16']
['268', '499', '457', '90', '424', '432', '81', '57', '239', '237']
['78', '368', '376', '391', '434', '116', '333', '188', '75', '370']
['93', '312', '331', '397', '411', '334', '122', '415', '403', '245']
['390', '63', '440', '278', '310', '228', '58', '348', '267', '94']
['489', '488', '451', '410', '300', '414', '174', '104', '395', '89']
['265', '223', '231', '50', '137', '201', '9', '286', '200', '421']
['46', '326', '247', '304', '68', '460', '26', '314', '21', '477']
['306', '317', '246', '412', '345', '35', '422', '399', '255', '238']
['221', '470', '481', '463', '114', '19', '327', '330', '320', '183']
['28', '408', '144', '242', '398', '266', '190', '297', '73', '17']
['92', '413', '49', '490', '478', '272', '230', '141', '59', '80']
['308', '401', '346', '22', '472', '383', '191', '193', '427', '54']
['142', '495', '179', '134', '218', '476', '429', '430', '447', '456']
['151', '498', '367', '161', '72', '377', '203', '482', '198', '375']
['88', '192', '381', '157', '43', '234', '67', '232', '464', '139']
['53', '486', '133', '108', '235', '187', '452', '284', '3', '291']
['166', '409', '277', '459', '288', '453', '86', '248', '160', '241']
['194', '130', '454', '106', '212', '211', '263', '196', '213', '225']
['51', '419', '428', '444', '344', '102', '285', '172', '20', '293']
['125', '437', '402', '442', '418', '254', '70', '382', '30', '4']
['332', '184', '328', '264', '335', '33', '366', '467', '156', '469']
['32', '287', '480', '483', '11', '48', '497', '325', '240', '386']
['197', '311', '468', '392', '416', '98', '199', '360', '273', '256']
['236', '438', '487', '12', '100', '38', '252', '484', '465', '260']
['222', '406', '474', '329', '76', '40', '280', '244', '10', '124']
['253', '56', '298', '384', '466', '47', '276', '8', '494', '176']
['296', '349', '14', '417', '215', '15', '342', '66', '167', '210']
['350', '162', '400', '271', '84', '120', '485', '117', '177', '85']
['31', '74', '393', '1', '243', '433', '115', '164', '492', '202']
['450', '103', '180', '299', '356', '388', '282', '29', '257', '95']
['147', '352', '373', '259', '165', '216', '226', '145', '233', '64']
['219', '475', '146', '6', '471', '25', '42', '61', '208', '250']
['372', '82', '5', '181', '34', '423', '449', '2', '107', '359']
['44', '407', '45', '378', '71', '127', '336', '152', '185', '18']
['62', '323', '39', '458', '217', '309', '96', '128', '7', '79']
['110', '229', '178', '275', '251', '303', '371', '87', '446', '274']
['65', '148', '140', '69', '355', '119', '136', '204', '112', '340']
['258', '132', '55', '249', '363', '313', '99', '159', '224', '131']
['292', '173', '153', '295', '435', '279', '169', '143', '361', '262']
['358', '111', '445', '207', '36', '301', '209', '23', '41', '307']
