['266', '463', '120', '435', '479', '43', '388', '391', '293', '90', '114', '442', '99', '92', '423', '499', '405', '106', '454', '151', '493', '60', '372', '49', '108']
['220', '212', '368', '39', '297', '365', '66', '250', '346', '145', '47', '10', '376', '424', '431', '191', '84', '6', '271', '280', '298', '0', '38', '53', '467']
['101', '291', '207', '484', '466', '169', '338', '406', '307', '216', '355', '456', '241', '69', '331', '468', '130', '488', '19', '453', '374', '232', '185', '131', '163']
['88', '377', '240', '356', '284', '489', '295', '89', '161', '119', '32', '143', '63', '237', '214', '170', '184', '473', '158', '192', '117', '422', '395', '292', '419']
['67', '457', '443', '25', '248', '461', '105', '451', '157', '115', '460', '233', '425', '476', '107', '324', '436', '492', '37', '193', '31', '290', '111', '378', '127']
['76', '235', '351', '272', '239', '112', '471', '469', '219', '20', '413', '296', '415', '336', '361', '177', '236', '126', '300', '44', '481', '227', '498', '186', '373']
['267', '452', '332', '439', '16', '418', '449', '438', '375', '306', '231', '344', '326', '128', '203', '482', '334', '79', '189', '309', '412', '173', '369', '408', '109']
['222', '341', '95', '303', '385', '441', '87', '181', '433', '486', '59', '72', '12', '118', '444', '382', '472', '165', '414', '285', '187', '121', '370', '150', '252']
['58', '386', '478', '305', '28', '104', '159', '27', '97', '246', '263', '261', '102', '200', '340', '401', '17', '124', '229', '176', '396', '141', '497', '321', '363']
['430', '48', '474', '258', '199', '432', '152', '312', '54', '244', '487', '85', '36', '46', '314', '287', '139', '458', '464', '77', '198', '446', '353', '62', '61']
['103', '380', '389', '204', '182', '445', '242', '480', '455', '238', '319', '213', '86', '45', '41', '301', '218', '122', '410', '210', '201', '74', '133', '174', '4']
['73', '407', '304', '311', '35', '211', '1', '392', '318', '138', '342', '279', '358', '7', '234', '496', '367', '308', '299', '178', '82', '194', '274', '387', '96']
['359', '288', '75', '362', '142', '116', '379', '13', '8', '485', '337', '343', '420', '23', '197', '347', '57', '249', '475', '188', '255', '15', '273', '399', '269']
['325', '56', '323', '110', '394', '125', '21', '364', '223', '315', '448', '91', '421', '477', '209', '70', '140', '50', '160', '224', '404', '196', '294', '428', '275']
['251', '310', '302', '490', '205', '327', '144', '320', '155', '313', '254', '247', '350', '393', '440', '398', '277', '281', '417', '14', '190', '29', '437', '330', '78']
['11', '171', '225', '348', '137', '447', '136', '123', '113', '470', '33', '335', '83', '55', '166', '2', '333', '147', '268', '167', '98', '495', '34', '134', '180']
['354', '202', '409', '164', '397', '282', '208', '154', '262', '345', '100', '71', '215', '349', '352', '390', '429', '322', '416', '265', '175', '384', '221', '162', '427']
['339', '426', '64', '483', '434', '462', '283', '52', '286', '217', '256', '94', '153', '168', '93', '230', '132', '26', '383', '264', '172', '357', '40', '317', '135']
['316', '3', '80', '260', '183', '360', '245', '65', '9', '146', '18', '195', '42', '366', '149', '179', '5', '156', '129', '243', '465', '259', '68', '148', '494']
['51', '253', '328', '228', '226', '450', '81', '289', '371', '24', '491', '257', '459', '22', '400', '206', '403', '329', '276', '278', '30', '381', '270', '411', '402']
