['379', '621', '685', '776', '756', '313', '2', '709', '62', '990', '447', '109', '328', '975', '786', '568', '279', '777', '518', '464', '551', '473', '267', '260', '888', '329', '83', '118', '848', '508', '807', '951', '406', '739', '340', '931', '403', '879', '950', '585', '572', '828', '682', '23', '361', '989', '208', '46', '190', '642']
['107', '939', '472', '495', '311', '944', '269', '943', '13', '75', '342', '513', '752', '647', '126', '461', '404', '425', '701', '391', '982', '507', '839', '872', '310', '635', '639', '386', '116', '371', '399', '505', '154', '883', '846', '813', '785', '726', '842', '729', '658', '30', '250', '497', '547', '142', '446', '160', '392', '862']
['587', '704', '732', '14', '612', '512', '370', '569', '847', '315', '138', '302', '803', '198', '618', '135', '919', '914', '818', '159', '242', '52', '239', '216', '750', '858', '650', '158', '799', '602', '801', '318', '720', '519', '763', '997', '147', '88', '737', '503', '218', '698', '619', '496', '995', '582', '124', '895', '420', '941']
['50', '607', '338', '348', '224', '292', '266', '789', '157', '831', '956', '45', '815', '294', '48', '790', '724', '137', '468', '774', '182', '772', '110', '419', '681', '146', '272', '240', '817', '686', '47', '623', '866', '930', '690', '445', '1', '176', '927', '987', '666', '580', '34', '932', '881', '654', '758', '636', '177', '280']
['791', '20', '125', '656', '353', '796', '123', '341', '60', '413', '484', '262', '98', '962', '288', '476', '26', '929', '357', '470', '530', '300', '664', '15', '925', '16', '455', '687', '715', '145', '49', '281', '974', '277', '501', '255', '591', '510', '238', '244', '787', '102', '485', '174', '761', '912', '303', '439', '884', '330']
['104', '25', '892', '705', '156', '604', '994', '428', '886', '284', '736', '128', '189', '841', '622', '134', '115', '336', '588', '229', '122', '93', '39', '836', '8', '388', '887', '27', '253', '898', '173', '616', '538', '398', '434', '514', '713', '304', '977', '810', '768', '913', '544', '231', '595', '367', '161', '620', '58', '432']
['212', '679', '152', '37', '354', '99', '660', '902', '570', '897', '662', '527', '675', '7', '221', '808', '283', '72', '449', '708', '641', '731', '516', '911', '936', '960', '574', '375', '945', '471', '940', '412', '248', '144', '946', '169', '358', '199', '347', '53', '54', '540', '555', '410', '73', '74', '307', '113', '762', '252']
['689', '891', '533', '383', '225', '462', '155', '424', '624', '584', '482', '291', '814', '166', '670', '546', '857', '900', '222', '210', '667', '457', '257', '963', '209', '766', '759', '273', '606', '4', '378', '646', '528', '78', '295', '565', '993', '407', '529', '954', '296', '454', '453', '61', '377', '967', '543', '865', '526', '922']
['346', '465', '452', '780', '335', '783', '38', '148', '991', '433', '586', '631', '878', '649', '980', '821', '236', '903', '722', '263', '299', '809', '978', '337', '285', '684', '64', '973', '197', '770', '12', '376', '172', '42', '576', '868', '421', '539', '363', '827', '966', '719', '860', '952', '268', '937', '579', '504', '840', '749']
['127', '856', '933', '70', '308', '143', '344', '33', '775', '600', '735', '558', '657', '232', '738', '782', '373', '401', '81', '788', '725', '316', '552', '500', '405', '332', '90', '314', '100', '491', '745', '95', '984', '833', '163', '181', '352', '490', '688', '767', '601', '651', '663', '669', '249', '442', '65', '764', '408', '205']
['68', '153', '625', '864', '825', '680', '211', '627', '961', '521', '183', '287', '133', '899', '246', '483', '57', '832', '794', '916', '793', '638', '141', '502', '178', '322', '10', '114', '972', '264', '430', '219', '40', '394', '676', '728', '389', '743', '254', '396', '617', '429', '259', '200', '531', '613', '416', '918', '339', '998']
['11', '779', '312', '474', '718', '915', '365', '106', '275', '265', '520', '393', '120', '184', '192', '234', '397', '290', '816', '532', '536', '859', '934', '571', '66', '506', '771', '806', '170', '748', '643', '826', '566', '628', '823', '207', '596', '837', '384', '325', '258', '560', '733', '438', '202', '187', '615', '633', '661', '498']
['112', '41', '130', '97', '44', '652', '829', '804', '583', '683', '965', '773', '890', '481', '390', '409', '938', '696', '414', '830', '6', '51', '96', '523', '920', '716', '261', '511', '5', '852', '364', '477', '908', '28', '578', '573', '105', '326', '798', '77', '524', '549', '286', '132', '877', '805', '194', '435', '440', '598']
