['56', '323', '391', '777', '858', '159', '266', '71', '632', '4', '263', '32', '549', '721', '150', '486', '179', '197', '248', '661', '892', '371', '811', '361', '547', '253', '404', '202', '903', '123', '689', '346', '519', '182', '742', '992', '530', '869', '930', '814', '94', '588', '329', '641', '738', '121', '856', '144', '782', '667']
['701', '844', '175', '229', '897', '42', '368', '957', '975', '639', '28', '706', '76', '465', '316', '852', '859', '119', '625', '581', '712', '218', '499', '13', '881', '935', '328', '562', '327', '73', '51', '31', '206', '269', '470', '822', '24', '750', '127', '455', '761', '479', '886', '275', '152', '284', '751', '38', '846', '97']
['861', '481', '99', '267', '262', '690', '501', '434', '776', '459', '523', '946', '295', '146', '839', '685', '988', '103', '348', '521', '213', '163', '68', '239', '376', '110', '595', '211', '676', '274', '433', '480', '857', '377', '52', '848', '257', '11', '535', '818', '268', '695', '249', '315', '824', '467', '847', '779', '531', '870']
['630', '948', '830', '112', '959', '129', '363', '665', '240', '141', '843', '934', '96', '29', '608', '393', '201', '9', '402', '0', '675', '832', '180', '931', '813', '45', '165', '694', '3', '997', '292', '522', '553', '874', '101', '445', '628', '877', '913', '431', '65', '345', '138', '419', '484', '84', '222', '255', '603', '933']
['122', '768', '98', '178', '444', '313', '514', '341', '15', '836', '911', '536', '863', '169', '752', '516', '684', '565', '607', '868', '181', '876', '297', '276', '728', '717', '383', '343', '22', '994', '517', '835', '492', '925', '49', '825', '310', '671', '232', '727', '735', '207', '634', '971', '245', '573', '183', '662', '75', '710']
['838', '907', '965', '708', '498', '458', '8', '126', '940', '423', '219', '195', '482', '605', '747', '906', '938', '77', '314', '812', '209', '350', '515', '366', '19', '133', '991', '409', '309', '403', '637', '920', '785', '66', '338', '43', '214', '398', '55', '1', '803', '995', '591', '679', '134', '713', '980', '302', '493', '570']
['116', '736', '109', '528', '286', '358', '883', '592', '993', '210', '289', '842', '407', '352', '792', '989', '389', '596', '21', '443', '105', '142', '582', '611', '749', '674', '953', '351', '337', '230', '917', '908', '769', '367', '780', '833', '417', '372', '960', '668', '74', '437', '967', '834', '95', '756', '923', '356', '306', '474']
['970', '766', '500', '87', '387', '442', '613', '187', '92', '805', '324', '244', '283', '879', '726', '999', '552', '135', '189', '598', '878', '88', '681', '336', '176', '185', '734', '510', '495', '304', '463', '512', '538', '730', '473', '629', '654', '33', '754', '705', '939', '645', '539', '158', '921', '374', '739', '224', '793', '571']
['687', '171', '990', '335', '937', '365', '212', '624', '300', '490', '891', '360', '272', '759', '196', '312', '647', '943', '837', '561', '326', '494', '887', '723', '37', '188', '589', '108', '902', '692', '577', '672', '709', '765', '44', '290', '208', '981', '90', '220', '446', '633', '261', '198', '511', '924', '567', '616', '120', '6']
['64', '20', '720', '86', '298', '436', '118', '659', '587', '962', '569', '124', '612', '809', '18', '58', '107', '162', '386', '303', '362', '635', '157', '707', '753', '161', '622', '379', '914', '557', '614', '375', '237', '136', '950', '873', '221', '670', '273', '673', '502', '247', '737', '430', '973', '620', '307', '806', '456', '246']
['153', '558', '242', '155', '537', '543', '91', '579', '238', '354', '270', '344', '415', '977', '151', '452', '867', '703', '347', '529', '192', '864', '556', '956', '688', '986', '254', '520', '260', '783', '855', '491', '416', '390', '299', '798', '355', '590', '427', '574', '475', '969', '575', '866', '748', '280', '563', '799', '755', '763']
['36', '234', '117', '615', '677', '422', '963', '817', '744', '533', '795', '771', '790', '164', '648', '469', '704', '718', '143', '875', '319', '478', '128', '472', '724', '872', '715', '111', '618', '729', '428', '50', '919', '593', '503', '987', '568', '78', '711', '758', '584', '100', '373', '683', '716', '915', '767', '972', '631', '424']
['789', '462', '621', '170', '488', '497', '41', '322', '53', '508', '741', '79', '62', '678', '808', '731', '291', '893', '115', '388', '827', '243', '145', '951', '700', '722', '236', '412', '396', '325', '555', '271', '148', '193', '27', '888', '46', '401', '83', '228', '453', '139', '652', '650', '61', '241', '471', '606', '638', '929']
['331', '927', '461', '770', '890', '69', '191', '449', '796', '264', '59', '173', '468', '447', '815', '7', '900', '851', '810', '968', '450', '160', '572', '658', '330', '576', '697', '666', '225', '10', '895', '332', '25', '397', '945', '223', '787', '947', '47', '636', '439', '904', '585', '147', '732', '233', '464', '54', '205', '773']
['420', '983', '184', '982', '955', '296', '60', '321', '113', '369', '399', '966', '542', '601', '63', '617', '865', '425', '385', '258', '378', '504', '524', '651', '745', '764', '845', '190', '359', '349', '167', '829', '216', '778', '918', '850', '841', '564', '12', '882', '320', '342', '996', '132', '226', '942', '125', '772', '984', '114']
['340', '509', '235', '643', '426', '137', '166', '435', '800', '140', '227', '451', '746', '828', '39', '702', '816', '30', '168', '698', '476', '395', '905', '405', '849', '854', '580', '550', '871', '505', '102', '532', '294', '958', '853', '916', '686', '217', '466', '597', '640', '660', '586', '862', '743', '807', '985', '545', '540', '333']
['964', '392', '583', '318', '719', '72', '781', '177', '85', '67', '691', '429', '826', '944', '623', '594', '496', '910', '801', '961', '791', '649', '560', '277', '370', '762', '93', '281', '627', '644', '819', '526', '840', '626', '408', '559', '483', '657', '554', '609', '507', '194', '928', '784', '384', '215', '382', '757', '820', '448']
['949', '541', '457', '80', '440', '682', '250', '664', '823', '926', '619', '34', '104', '200', '774', '487', '485', '418', '885', '438', '909', '775', '896', '696', '544', '760', '656', '889', '578', '203', '979', '317', '26', '860', '525', '663', '518', '259', '546', '421', '48', '733', '156', '357', '489', '293', '454', '301', '513', '380']
['936', '642', '901', '16', '339', '285', '714', '154', '941', '364', '477', '506', '265', '725', '17', '880', '551', '954', '978', '802', '14', '278', '432', '821', '599', '199', '252', '922', '149', '106', '5', '602', '23', '70', '411', '279', '186', '81', '680', '131', '655', '610', '974', '381', '2', '646', '406', '998', '308', '932']
['804', '394', '797', '174', '527', '548', '231', '410', '786', '413', '89', '604', '400', '130', '251', '82', '353', '600', '952', '172', '794', '976', '441', '912', '288', '305', '740', '256', '831', '204', '414', '460', '282', '40', '57', '788', '699', '894', '899', '898', '334', '566', '669', '653', '311', '534', '287', '693']
['35', '884']
