['135', '56', '323', '777', '738', '456', '367', '153', '712', '13', '701', '470', '543', '91', '150', '759', '166', '344', '96', '977', '452', '248', '867', '703', '529']
['726', '737', '14', '973', '207', '858', '141', '426', '724', '246', '789', '263', '32', '537', '455', '861', '354', '511', '925', '179', '183', '192', '864', '956', '361']
['761', '579', '806', '143', '266', '71', '589', '137', '238', '151', '197', '480', '347', '811', '460', '547', '520', '564', '3', '903', '578', '65', '416', '299', '798']
['146', '687', '4', '959', '363', '688', '254', '832', '202', '783', '855', '689', '519', '182', '355', '311', '245', '992', '958', '530', '475', '930', '814', '157', '398']
['257', '272', '391', '613', '116', '732', '721', '62', '892', '556', '196', '590', '574', '907', '668', '94', '575', '588', '995', '122', '121', '856', '144', '304', '799']
['637', '430', '159', '632', '172', '661', '986', '404', '630', '484', '390', '742', '427', '641', '837', '782', '924', '174', '631', '700', '234', '970', '615', '677', '422']
['735', '535', '104', '558', '987', '591', '75', '252', '346', '524', '748', '982', '563', '884', '769', '844', '117', '42', '994', '957', '975', '639', '28', '76', '465']
['216', '565', '156', '106', '321', '280', '746', '667', '815', '189', '176', '368', '64', '457', '105', '533', '771', '790', '208', '256', '581', '242', '704', '758', '707']
['359', '213', '7', '191', '969', '329', '352', '173', '763', '402', '817', '744', '300', '360', '194', '164', '648', '838', '718', '499', '319', '8', '327', '279', '31']
['775', '260', '450', '767', '0', '26', '671', '424', '723', '316', '625', '881', '562', '568', '128', '795', '111', '729', '269', '50', '755', '24', '270', '466', '479']
['939', '307', '432', '11', '451', '237', '963', '446', '592', '859', '107', '874', '913', '78', '123', '822', '503', '356', '250', '253', '715', '584', '831', '373', '275']
['966', '927', '890', '226', '437', '967', '290', '385', '919', '649', '711', '886', '964', '481', '716', '784', '267', '972', '394', '690', '462', '459', '170', '523', '488']
['797', '888', '339', '264', '314', '490', '160', '469', '51', '206', '284', '751', '846', '97', '99', '100', '434', '776', '621', '810', '904', '41', '839', '53', '348']
['912', '444', '952', '917', '458', '849', '658', '946', '295', '35', '508', '741', '165', '516', '68', '678', '388', '110', '550', '999', '676', '897', '294', '857', '377']
['546', '853', '132', '328', '872', '37', '683', '501', '155', '605', '322', '988', '103', '692', '545', '827', '5', '951', '796', '433', '500', '396', '325', '818', '268']
['494', '478', '979', '119', '717', '395', '915', '126', '521', '218', '697', '243', '145', '236', '555', '271', '193', '695', '46', '249', '315', '978', '998', '559', '139']
['602', '960', '326', '472', '756', '38', '665', '87', '685', '79', '239', '808', '115', '313', '901', '401', '847', '900', '652', '650', '308', '863', '241', '663', '129']
['705', '928', '681', '791', '175', '902', '131', '805', '163', '774', '211', '12', '848', '412', '148', '467', '909', '61', '638', '98', '44', '240', '770', '896', '934']
