['368', '207', '634', '245', '140', '227', '965', '746', '159', '632', '875', '91', '511', '550', '102', '864', '929', '69', '19', '520']
['259', '235', '426', '573', '75', '391', '451', '738', '39', '558', '13', '476', '940', '455', '405', '938', '867', '301', '314', '888']
['959', '643', '166', '590', '806', '737', '795', '4', '327', '579', '854', '747', '977', '179', '703', '347', '77', '83', '812', '218']
['881', '56', '662', '777', '470', '395', '150', '605', '460', '832', '113', '798', '43', '565', '829', '355', '110', '992', '392', '505']
['955', '495', '323', '512', '889', '683', '115', '954', '640', '858', '187', '80', '89', '702', '801', '30', '820', '823', '374', '580']
['916', '540', '973', '842', '209', '199', '595', '211', '286', '361', '513', '789', '712', '168', '698', '872', '463', '705', '412', '849']
['582', '63', '678', '825', '48', '291', '456', '828', '897', '589', '225', '242', '32', '530', '396', '933', '941', '895', '197', '695']
['648', '507', '304', '630', '132', '183', '376', '156', '266', '21', '153', '203', '172', '8', '229', '721', '219', '236', '398', '490']
['886', '733', '710', '377', '731', '293', '577', '71', '212', '619', '379', '989', '543', '204', '364', '27', '55', '60', '233', '363']
['544', '514', '971', '430', '388', '116', '387', '145', '676', '654', '642', '553', '285', '509', '333', '193', '340', '192', '349', '986']
['143', '498', '272', '951', '687', '780', '857', '111', '257', '195', '151', '148', '891', '34', '734', '739', '793', '903', '384', '313']
['287', '843', '354', '572', '254', '716', '321', '33', '407', '428', '46', '578', '818', '473', '467', '515', '133', '652', '863', '120']
['981', '239', '945', '403', '155', '724', '16', '423', '696', '344', '901', '385', '409', '260', '86', '189', '282', '838', '125', '742']
['24', '708', '458', '834', '325', '799', '268', '480', '265', '82', '249', '217', '637', '335', '948', '338', '397', '736', '985', '533']
['494', '42', '439', '545', '681', '784', '645', '539', '978', '880', '845', '752', '241', '471', '307', '360', '770', '861', '930', '641']
['709', '626', '240', '830', '591', '942', '532', '29', '585', '608', '600', '171', '299', '660', '647', '129', '441', '853', '972', '884']
['944', '342', '413', '915', '263', '11', '454', '213', '805', '468', '440', '556', '686', '900', '571', '597', '112', '420', '182', '375']
['93', '137', '697', '435', '538', '271', '925', '906', '452', '827', '401', '811', '139', '779', '624', '689', '346', '807', '802', '675']
['311', '276', '728', '535', '366', '847', '65', '484', '329', '134', '713', '72', '943', '982', '302', '446', '109', '851', '769', '411']
['124', '489', '537', '154', '824', '653', '390', '303', '913', '114', '14', '449', '837', '561', '402', '0', '316', '279', '358', '175']
['873', '421', '910', '278', '381', '754', '73', '667', '939', '555', '921', '202', '783', '416', '785', '586', '922', '478', '679', '588']
['128', '161', '564', '934', '952', '529', '817', '870', '920', '862', '519', '574', '96', '969', '719', '447', '983', '706', '593', '623']
['882', '907', '714', '871', '462', '28', '956', '94', '149', '177', '856', '935', '450', '826', '763', '210', '594', '852', '576', '961']
['898', '475', '52', '92', '506', '485', '66', '638', '517', '141', '890', '269', '31', '459', '448', '85', '493', '50', '592', '160']
['119', '246', '701', '722', '315', '649', '262', '932', '191', '59', '9', '144', '651', '840', '610', '380', '406', '308', '560', '277']
['123', '927', '583', '547', '990', '214', '432', '599', '106', '121', '5', '844', '902', '424', '821', '762', '569', '627', '261', '768']
['723', '997', '848', '158', '725', '892', '318', '781', '36', '887', '924', '497', '674', '488', '672', '502', '201', '320', '644', '628']
['350', '248', '991', '309', '427', '103', '691', '782', '429', '37', '188', '330', '165', '310', '957', '639', '461', '394', '787', '874']
['669', '546', '422', '353', '312', '759', '252', '70', '67', '280', '646', '526', '215', '786', '127', '552', '536', '800', '587', '729']
['267', '767', '650', '995', '814', '680', '410', '625', '581', '618', '707', '54', '84', '328', '661', '755', '15', '162', '911', '78']
['146', '753', '457', '998', '765', '819', '400', '527', '270', '20', '928', '437', '444', '809', '7', '365', '443', '682', '960', '673']
['974', '298', '357', '531', '797', '464', '657', '917', '88', '251', '372', '541', '371', '967', '250', '855', '964', '751', '97', '481']
['79', '47', '469', '559', '337', '567', '554', '367', '603', '869', '883', '224', '500', '542', '216', '690', '264', '894', '180', '931']
['22', '694', '45', '433', '130', '905', '966', '757', '472', '666', '369', '486', '359', '685', '775', '186', '899', '979', '631', '336']
['26', '758', '190', '909', '226', '58', '107', '732', '711', '524', '614', '776', '237', '980', '953', '222', '993', '185', '176', '326']
['196', '671', '135', '636', '633', '198', '528', '604', '727', '503', '549', '584', '621', '38', '613', '896', '570', '534', '348', '615']
['994', '44', '912', '256', '296', '612', '791', '425', '438', '717', '523', '35', '317', '860', '677', '174', '859', '40', '173', '208']
['136', '664', '300', '607', '548', '147', '946', '352', '715', '670', '68', '496', '877', '522', '101', '255', '356', '562', '947', '164']
['516', '865', '788', '501', '138', '230', '879', '609', '404', '735', '228', '487', '419', '399', '792', '868', '510', '839', '415', '322']
['108', '362', '275', '492', '244', '726', '525', '431', '126', '339', '453', '62', '178', '659', '749', '908', '866', '521', '378', '393']
['491', '596', '334', '790', '247', '3', '142', '157', '105', '386', '434', '999', '976', '370', '305', '962', '290', '61', '12', '332']
['466', '169', '104', '878', '194', '606', '152', '937', '341', '815', '655', '557', '232', '95', '914', '575', '893', '700', '958', '996']
['76', '504', '622', '936', '841', '743', '382', '704', '663', '831', '284', '987', '118', '289', '253', '117', '273', '668', '760', '772']
['950', '445', '833', '803', '774', '53', '90', '234', '923', '598', '975', '231', '417', '885', '773', '100', '319', '283', '656', '17']
['970', '745', '804', '836', '442', '345', '766', '243', '373', '220', '351', '436', '274', '741', '617', '306', '658', '18', '876', '57']
['51', '846', '324', '223', '764', '383', '919', '629', '238', '720', '813', '518', '297', '23', '778', '414', '620', '635', '904', '508']
['221', '601', '808', '465', '343', '184', '41', '835', '131', '963', '474', '566', '10', '499', '331', '25', '850', '563', '756', '730']
