['56', '483', '259', '472', '459']
['323', '647', '162', '955', '927']
['391', '170', '712', '382', '637']
['777', '265', '252', '488', '780']
['858', '673', '865', '852', '14']
['71', '204', '656', '707', '505']
['104', '61', '834', '746', '185']
['789', '736', '868', '725', '275']
['4', '757', '815', '397', '840']
['263', '563', '322', '434', '528']
['721', '112', '682', '227', '380']
['150', '929', '134', '144', '724']
['486', '761', '59', '348', '661']
['892', '848', '442', '964', '389']
['581', '572', '133', '729', '142']
['547', '278', '626', '13', '455']
['404', '591', '89', '969', '932']
['752', '619', '138', '67', '645']
['689', '983', '698', '826', '481']
['519', '884', '838', '192', '912']
['530', '3', '102', '431', '127']
['122', '318', '668', '723', '846']
['930', '627', '710', '5', '367']
['94', '915', '594', '418', '460']
['588', '41', '475', '854', '766']
['641', '344', '910', '343', '646']
['116', '226', '769', '774', '816']
['121', '288', '798', '579', '295']
['856', '141', '597', '792', '954']
['782', '859', '880', '281', '82']
['175', '232', '586', '463', '135']
['970', '373', '330', '514', '336']
['368', '340', '242', '734', '25']
['781', '270', '169', '190', '199']
['28', '543', '464', '411', '174']
['446', '17', '52', '585', '920']
['465', '601', '439', '593', '413']
['632', '772', '755', '430', '629']
['208', '587', '128', '793', '982']
['499', '250', '159', '181', '624']
['881', '853', '883', '193', '11']
['328', '148', '713', '684', '891']
['420', '153', '449', '663', '731']
['470', '33', '75', '866', '312']
['24', '320', '152', '944', '246']
['123', '414', '424', '80', '895']
['91', '984', '236', '360', '943']
['479', '548', '37', '942', '676']
['886', '403', '467', '58', '383']
['831', '686', '708', '84', '44']
['38', '184', '254', '506', '117']
['267', '851', '54', '502', '90']
['690', '516', '871', '699', '342']
['946', '535', '697', '338', '115']
['103', '730', '15', '639', '113']
['576', '666', '498', '317', '261']
['163', '201', '634', '560', '511']
['239', '603', '842', '237', '832']
['595', '968', '386', '803', '86']
['897', '20', '381', '771', '55']
['433', '605', '582', '95', '324']
['818', '428', '412', '799', '471']
['695', '749', '476', '580', '990']
['315', '390', '901', '215', '436']
['824', '407', '22', '836', '118']
['847', '833', '8', '756', '124']
['779', '326', '217', '537', '758']
['909', '896', '857', '900', '70']
['843', '608', '212', '745', '111']
['814', '284', '997', '277', '525']
['9', '207', '76', '657', '255']
['706', '466', '979', '962', '825']
['520', '829', '688', '805', '598']
['931', '671', '335', '507', '783']
['813', '172', '759', '325', '952']
['877', '923', '687', '643', '609']
['453', '709', '524', '515', '664']
['991', '352', '129', '384', '180']
['911', '924', '432', '120', '496']
['863', '303', '681', '448', '869']
['276', '875', '125', '205', '873']
['517', '186', '640', '540', '484']
['310', '489', '364', '408', '452']
['727', '405', '568', '945', '986']
['245', '705', '623', '993', '491']
['965', '733', '509', '229', '566']
['304', '200', '652', '415', '867']
['458', '617', '179', '487', '85']
['219', '905', '376', '262', '409']
['482', '271', '692', '98', '794']
['77', '109', '372', '440', '299']
['314', '309', '726', '554', '69']
['350', '862', '693', '544', '888']
['444', '754', '319', '717', '366']
['785', '702', '876', '849', '651']
['66', '533', '751', '518', '760']
['43', '92', '612', '567', '99']
['147', '474', '913', '538', '478']
['214', '421', '596', '894', '963']
['329', '494', '468', '638', '817']
['493', '917', '960', '443', '21']
['289', '670', '908', '480', '790']
['611', '78', '573', '546', '967']
['173', '177', '570', '293', '526']
['74', '534', '562', '301', '286']
['437', '512', '737', '513', '182']
['592', '685', '213', '642', '158']
['356', '935', '551', '274', '143']
['187', '808', '703', '220', '503']
['334', '16', '210', '492', '918']
['244', '879', '233', '378', '584']
['283', '273', '96', '500', '100']
['189', '966', '333', '835', '462']
['878', '32', '454', '168', '198']
['327', '558', '131', '285', '374']
['939', '346', '161', '714', '53']
['539', '313', '743', '154', '821']
['921', '351', '590', '146', '35']
['739', '51', '961', '978', '613']
['571', '809', '577', '784', '672']
['171', '732', '763', '950', '616']
['490', '402', '307', '370', '341']
['196', '972', '658', '922', '197']
['837', '108', '296', '602', '106']
['561', '622', '140', '416', '497']
['887', '660', '194', '630', '860']
['589', '361', '114', '406', '778']
['291', '975', '27', '394', '691']
['256', '101', '822', '410', '628']
['45', '165', '203', '948', '79']
['63', '839', '30', '253', '508']
['720', '178', '306', '604', '786']
['800', '564', '987', '973', '388']
['230', '980', '998', '400', '748']
['294', '183', '996', '251', '160']
['569', '648', '363', '300', '722']
['18', '457', '631', '353', '257']
['371', '202', '787', '337', '88']
['635', '260', '625', '620', '241']
['157', '802', '874', '305', '667']
['753', '401', '362', '740', '674']
['379', '445', '899', '949', '6']
