['50', '235', '56', '225', '137', '292', '347', '48', '240', '28']
['114', '310', '426', '381', '10', '92', '477', '143', '403', '388']
['399', '219', '291', '280', '368', '166', '307', '243', '45', '145']
['93', '332', '101', '435', '209', '211', '47', '445', '147', '233']
['97', '42', '380', '406', '443', '495', '461', '0', '276', '90']
['85', '169', '327', '179', '144', '246', '194', '95', '39', '164']
['132', '207', '323', '354', '228', '308', '407', '140', '370', '76']
['55', '421', '304', '220', '183', '377', '99', '171', '21', '433']
['168', '18', '360', '227', '394', '33', '155', '4', '470', '91']
['434', '484', '300', '387', '162', '119', '469', '337', '94', '213']
['208', '156', '356', '199', '465', '153', '172', '109', '242', '271']
['34', '457', '436', '405', '281', '286', '439', '408', '395', '127']
['272', '14', '239', '389', '422', '391', '357', '2', '8', '73']
['106', '376', '116', '473', '263', '64', '458', '396', '344', '212']
['70', '122', '210', '456', '367', '236', '154', '6', '205', '416']
['299', '268', '30', '261', '67', '483', '150', '84', '230', '364']
['478', '352', '498', '499', '159', '198', '80', '107', '306', '231']
['296', '330', '297', '293', '450', '294', '464', '400', '346', '480']
['283', '135', '463', '110', '446', '36', '285', '195', '328', '193']
['237', '105', '13', '257', '51', '148', '248', '27', '46', '83']
['204', '44', '411', '255', '476', '345', '32', '102', '384', '315']
['35', '75', '115', '351', '440', '279', '444', '69', '188', '371']
['180', '467', '25', '165', '16', '423', '89', '251', '321', '363']
['74', '424', '71', '326', '149', '167', '375', '151', '158', '317']
['340', '181', '142', '54', '77', '466', '482', '374', '117', '303']
['282', '455', '452', '223', '265', '241', '429', '372', '382', '37']
['229', '184', '287', '314', '417', '341', '335', '78', '378', '284']
['1', '451', '274', '431', '359', '60', '415', '17', '369', '409']
['200', '489', '398', '413', '192', '206', '111', '15', '88', '365']
['96', '397', '361', '249', '269', '217', '202', '221', '390', '100']
['414', '215', '350', '52', '353', '218', '460', '366', '305', '336']
['163', '201', '266', '432', '175', '491', '98', '124', '58', '120']
['410', '496', '178', '254', '190', '295', '141', '485', '449', '342']
['177', '301', '31', '404', '309', '123', '479', '112', '425', '373']
['126', '131', '428', '472', '24', '245', '161', '349', '329', '420']
['7', '63', '238', '453', '385', '383', '87', '134', '125', '427']
['170', '5', '113', '260', '362', '355', '157', '186', '174', '81']
['322', '333', '386', '256', '319', '339', '19', '133', '182', '79']
['226', '86', '138', '392', '447', '488', '494', '173', '234', '53']
['66', '20', '448', '139', '197', '61', '338', '43', '152', '438']
['302', '11', '331', '486', '318', '252', '72', '468', '493', '316']
['487', '22', '412', '325', '82', '471', '258', '216', '203', '49']
['334', '430', '419', '224', '379', '343', '9', '402', '12', '492']
['311', '118', '288', '262', '136', '23', '41', '232', '62', '289']
['290', '437', '160', '3', '418', '108', '29', '442', '26', '264']
['185', '454', '313', '259', '59', '267', '191', '312', '40', '277']
['68', '475', '278', '196', '244', '320', '222', '358', '393', '247']
['189', '401', '324', '57', '497', '298', '129', '146', '348', '121']
['128', '250', '490', '275', '65', '38', '187', '273', '459', '270']
['462', '103', '474', '441', '104', '481', '214', '253', '176', '130']
