['729', '377', '732', '987', '80', '750', '253', '362', '270', '115', '932', '882', '607', '724', '97', '893', '712', '168', '890', '754', '537', '219', '695', '647', '205', '815', '23', '980', '493', '871', '769', '529', '37', '221', '812', '986', '472', '327', '616', '373', '749', '454', '858', '901', '805', '596', '670', '659', '759', '383']
['277', '341', '380', '709', '169', '522', '502', '621', '129', '788', '456', '1', '161', '859', '789', '13', '892', '857', '351', '968', '660', '306', '447', '760', '494', '67', '279', '174', '860', '160', '273', '189', '259', '652', '379', '955', '881', '328', '743', '117', '102', '561', '176', '108', '831', '757', '353', '623', '887', '298']
['245', '56', '990', '630', '945', '356', '194', '216', '802', '45', '687', '632', '836', '487', '505', '394', '618', '719', '696', '237', '230', '510', '54', '295', '89', '485', '334', '511', '556', '525', '399', '727', '610', '443', '557', '663', '685', '78', '247', '398', '65', '201', '808', '305', '642', '147', '734', '948', '916', '993']
['486', '332', '239', '833', '290', '243', '742', '803', '242', '458', '698', '476', '8', '690', '707', '965', '186', '184', '507', '827', '411', '21', '645', '251', '317', '218', '475', '902', '133', '191', '637', '926', '532', '971', '29', '488', '894', '883', '534', '126', '959', '560', '352', '281', '469', '679', '748', '116', '7', '745']
['359', '967', '407', '817', '498', '989', '354', '390', '303', '865', '451', '595', '211', '611', '981', '198', '940', '238', '335', '818', '950', '322', '582', '658', '389', '409', '779', '438', '708', '606', '768', '91', '226', '853', '688', '795', '624', '625', '964', '840', '347', '68', '33', '909', '264', '294', '31', '404', '914', '566']
['578', '3', '694', '292', '614', '228', '533', '713', '181', '445', '526', '934', '196', '499', '138', '714', '776', '641', '453', '580', '248', '774', '851', '935', '401', '667', '119', '594', '809', '235', '586', '501', '396', '506', '146', '82', '655', '952', '949', '291', '301', '602', '241', '962', '744', '686', '492', '879', '364', '605']
['828', '591', '225', '640', '957', '370', '569', '333', '208', '958', '876', '612', '154', '5', '720', '384', '600', '26', '274', '232', '542', '804', '42', '299', '664', '190', '433', '979', '790', '816', '244', '929', '609', '212', '267', '312', '215', '403', '773', '49', '477', '905', '249', '151', '316', '124', '323', '284', '886', '64']
['552', '95', '672', '646', '794', '798', '388', '258', '104', '427', '276', '583', '418', '973', '11', '344', '166', '402', '604', '41', '271', '286', '444', '336', '976', '822', '321', '839', '974', '209', '34', '342', '434', '896', '530', '598', '165', '635', '617', '862', '246', '302', '830', '700', '626', '58', '439', '631', '587', '796']
['811', '426', '597', '442', '639', '461', '731', '651', '110', '538', '628', '92', '261', '199', '85', '741', '482', '661', '9', '210', '406', '463', '536', '733', '710', '27', '32', '608', '143', '285', '995', '16', '363', '880', '217', '996', '272', '676', '528', '918', '314', '956', '722', '520', '765', '495', '921', '339', '873', '378']
['459', '53', '568', '998', '730', '878', '764', '673', '62', '148', '480', '83', '223', '991', '88', '960', '57', '680', '832', '360', '783', '737', '855', '0', '490', '508', '87', '691', '778', '751', '564', '550', '193', '367', '662', '553', '838', '465', '852', '915', '70', '98', '372', '864', '86', '657', '282', '717', '777', '513']
['255', '674', '531', '331', '156', '821', '204', '182', '627', '188', '572', '797', '581', '972', '885', '72', '850', '283', '452', '900', '899', '417', '620', '824', '671', '942', '263', '120', '365', '913', '93', '14', '843', '392', '780', '848', '257', '12', '206', '541', '699', '975', '423', '2', '28', '171', '866', '412', '84', '112']
['835', '845', '752', '756', '491', '649', '105', '71', '376', '585', '930', '721', '523', '703', '203', '931', '653', '539', '497', '677', '197', '202', '310', '15', '813', '678', '435', '683', '766', '55', '772', '870', '167', '231', '837', '173', '588', '152', '175', '576', '38', '516', '738', '81', '735', '382', '484', '358', '425', '861']
['207', '785', '992', '397', '44', '346', '762', '891', '481', '269', '704', '599', '908', '440', '268', '446', '473', '222', '60', '260', '79', '410', '514', '125', '343', '99', '668', '150', '849', '615', '826', '966', '330', '669', '430', '758', '144', '825', '315', '546', '665', '90', '47', '567', '366', '693', '462', '470', '954', '869']
['75', '963', '910', '535', '25', '66', '471', '723', '114', '432', '877', '233', '943', '46', '810', '35', '603', '799', '132', '311', '18', '422', '920', '592', '634', '10', '947', '961', '419', '195', '544', '725', '946', '224', '983', '563', '74', '650', '76', '648', '375', '706', '340', '22', '638', '681', '527', '361', '256', '127']
['872', '503', '601', '512', '715', '293', '297', '141', '728', '936', '431', '543', '823', '922', '393', '917', '179', '265', '449', '919', '103', '771', '36', '262', '324', '128', '296', '793', '313', '666', '153', '570', '716', '781', '436', '111', '944', '856', '590', '636', '337', '854', '69', '387', '705', '874', '978', '131', '565', '460']
['884', '692', '51', '689', '157', '355', '814', '405', '319', '213', '118', '20', '844', '467', '374', '656', '496', '842', '904', '48', '308', '999', '868', '39', '515', '801', '192', '381', '867', '478', '474', '172', '718', '829', '177', '280', '400', '163', '906', '288', '159', '792', '701', '349', '329', '325', '800', '548', '289', '767']
['139', '457', '643', '573', '997', '806', '140', '170', '107', '575', '420', '448', '977', '726', '675', '509', '888', '739', '521', '895', '697', '911', '416', '547', '441', '96', '464', '841', '925', '928', '633', '782', '234', '254', '970', '429', '137', '145', '775', '562', '77', '907', '579', '889', '185', '577', '414', '898', '162', '287']
['371', '101', '740', '307', '214', '524', '753', '558', '155', '559', '468', '106', '555', '413', '517', '924', '747', '122', '847', '807', '357', '183', '982', '684', '545', '787', '951', '846', '220', '4', '875', '428', '149', '136', '52', '654', '304', '338', '391', '227', '40', '784', '121', '994', '158', '554', '551', '500', '791', '345']
['455', '318', '549', '386', '761', '479', '240', '519', '613', '622', '100', '786', '969', '988', '755', '229', '63', '746', '644', '897', '142', '938', '135', '109', '180', '763', '17', '348', '466', '682', '504', '266', '540', '483', '252', '953', '123', '437', '518', '415', '933', '19', '309', '250', '820', '134', '424', '350', '984', '6']
['834', '395', '300', '819', '702', '94', '59', '863', '178', '450', '589', '24', '326', '903', '61', '923', '43', '584', '489', '275', '927', '164', '278', '30', '408', '571', '236', '939', '941', '130', '200', '593', '50', '629', '711', '385', '619', '985', '770', '574', '912', '73', '320', '187', '421', '368', '113', '736', '369', '937']
