['341', '304', '289', '573', '733', '545', '595', '456', '433', '632']
['474', '207', '737', '245', '973', '48', '823', '199', '116', '301']
['150', '634', '945', '110', '357', '286', '513', '654', '33', '168']
['121', '235', '56', '97', '546', '137', '842', '183', '710', '907']
['318', '297', '391', '339', '681', '875', '940', '537', '219', '52']
['381', '323', '694', '14', '354', '697', '613', '590', '243', '266']
['25', '495', '463', '893', '910', '140', '738', '629', '263', '16']
['429', '426', '630', '291', '643', '777', '293', '951', '153', '816']
['797', '746', '246', '409', '32', '705', '861', '784', '11', '268']
['779', '678', '403', '115', '227', '796', '475', '683', '470', '91']
['788', '239', '209', '307', '702', '480', '872', '236', '154', '696']
['831', '507', '166', '662', '803', '731', '159', '4', '377', '285']
['242', '388', '413', '428', '555', '747', '977', '550', '77', '539']
['783', '63', '376', '999', '412', '306', '271', '213', '938', '347']
['484', '9', '8', '672', '939', '580', '197', '561', '46', '417']
['679', '712', '458', '698', '73', '768', '151', '148', '835', '158']
['215', '498', '512', '240', '708', '71', '13', '849', '195', '605']
['393', '75', '21', '976', '325', '827', '532', '371', '916', '366']
['587', '701', '172', '754', '850', '452', '703', '218', '460', '653']
['584', '427', '395', '714', '477', '248', '473', '695', '888', '217']
['145', '492', '642', '476', '848', '405', '40', '506', '294', '978']
['649', '558', '780', '257', '906', '688', '254', '212', '214', '521']
['368', '128', '687', '344', '871', '515', '986', '652', '491', '937']
['839', '210', '435', '818', '265', '509', '864', '921', '734', '832']
['967', '99', '338', '914', '17', '586', '866', '404', '309', '345']
['659', '971', '897', '500', '574', '858', '270', '854', '925', '583']
['86', '965', '352', '455', '238', '27', '83', '363', '793', '571']
['143', '660', '396', '941', '315', '824', '954', '853', '3', '565']
['591', '80', '589', '543', '530', '686', '19', '129', '838', '59']
['5', '272', '247', '39', '102', '406', '529', '139', '903', '610']
['685', '407', '721', '10', '596', '920', '55', '742', '892', '599']
['924', '676', '423', '401', '192', '188', '65', '785', '390', '744']
['578', '156', '933', '535', '314', '600', '365', '305', '913', '282']
['186', '791', '806', '400', '511', '454', '597', '725', '43', '811']
['665', '857', '69', '125', '278', '329', '641', '489', '280', '675']
['367', '825', '30', '249', '880', '361', '260', '689', '343', '985']
['372', '451', '942', '179', '467', '929', '171', '206', '441', '891']
['189', '887', '855', '949', '798', '972', '759', '551', '647', '922']
['691', '739', '547', '520', '308', '241', '194', '134', '719', '106']
['259', '874', '310', '364', '812', '959', '349', '845', '640', '624']
['104', '514', '602', '346', '699', '398', '713', '447', '837', '302']
['348', '42', '830', '867', '340', '31', '847', '66', '997', '829']
['671', '626', '722', '667', '637', '736', '191', '468', '493', '411']
['100', '276', '211', '789', '112', '471', '807', '843', '392', '449']
['114', '225', '820', '531', '299', '355', '930', '85', '0', '36']
['800', '792', '487', '62', '661', '178', '424', '870', '934', '196']
['794', '646', '94', '416', '730', '141', '582', '312', '553', '326']
['438', '992', '193', '556', '374', '991', '1', '540', '333', '958']
['107', '92', '89', '579', '645', '650', '303', '638', '770', '432']
['24', '335', '61', '182', '890', '980', '982', '563', '728', '826']
['761', '801', '862', '190', '375', '979', '781', '45', '931', '623']
['743', '674', '462', '124', '93', '237', '420', '706', '316', '851']
['995', '28', '804', '614', '950', '814', '230', '840', '658', '165']
['631', '330', '901', '228', '844', '969', '575', '109', '970', '22']
['715', '505', '23', '446', '651', '170', '177', '572', '496', '604']
['684', '353', '430', '486', '252', '748', '809', '611', '292', '76']
['765', '693', '815', '810', '594', '852', '749', '709', '993', '300']
['359', '774', '782', '802', '149', '983', '81', '117', '677', '202']
['370', '481', '324', '636', '144', '173', '581', '180', '577', '380']
['34', '601', '961', '453', '787', '593', '902', '655', '808', '666']
['860', '436', '569', '884', '450', '944', '497', '628', '627', '90']
['251', '132', '990', '948', '588', '70', '799', '108', '895', '397']
['434', '415', '936', '72', '187', '953', '542', '576', '974', '461']
['68', '146', '494', '981', '935', '968', '160', '410', '220', '176']
['127', '78', '570', '763', '131', '821', '606', '469', '567', '319']
['915', '490', '96', '771', '437', '518', '998', '932', '465', '786']
['947', '67', '47', '2', '255', '772', '729', '50', '440', '216']
['657', '360', '358', '101', '975', '277', '119', '147', '198', '618']
['609', '120', '502', '769', '201', '394', '790', '431', '740', '337']
['926', '519', '264', '883', '723', '644', '164', '445', '912', '554']
['566', '402', '963', '234', '421', '585', '718', '758', '726', '184']
['499', '741', '444', '29', '488', '957', '281', '54', '562', '603']
['313', '103', '608', '332', '533', '64', '6', '704', '905', '382']
['856', '813', '443', '526', '625', '351', '483', '773', '795', '82']
['250', '384', '966', '175', '817', '900', '648', '274', '479', '269']
['841', '422', '208', '138', '881', '327', '223', '928', '123', '960']
['522', '389', '549', '757', '369', '503', '95', '253', '923', '750']
['466', '762', '859', '559', '20', '322', '457', '865', '157', '87']
['356', '956', '155', '548', '130', '755', '162', '836', '200', '904']
['38', '760', '544', '142', '419', '231', '536', '51', '350', '122']
['700', '133', '615', '527', '908', '60', '362', '964', '152', '607']
['989', '909', '439', '877', '955', '869', '919', '833', '732', '664']
['386', '775', '541', '560', '44', '876', '917', '720', '724', '863']
['373', '105', '317', '74', '288', '751', '716', '767', '996', '873']
['690', '387', '668', '822', '756', '478', '311', '181', '557', '882']
