['479', '858', '324', '725', '331', '310', '603', '711', '743', '639', '964', '706', '142', '627', '14', '942', '927', '59', '914', '821']
['52', '499', '207', '507', '306', '870', '224', '302', '200', '502', '141', '314', '123', '864', '702', '812', '688', '168', '19', '940']
['824', '717', '713', '646', '231', '998', '733', '563', '570', '155', '451', '276', '782', '104', '602', '676', '538', '433', '622', '197']
['994', '3', '968', '240', '463', '356', '555', '49', '483', '357', '340', '315', '442', '852', '811', '915', '77', '734', '7', '486']
['908', '571', '265', '270', '895', '917', '365', '212', '327', '886', '550', '413', '619', '841', '900', '343', '266', '612', '75', '655']
['510', '552', '150', '990', '756', '568', '346', '86', '54', '24', '840', '897', '158', '632', '832', '641', '522', '836', '759', '704']
['624', '291', '92', '2', '46', '617', '562', '279', '806', '165', '157', '762', '661', '88', '807', '278', '813', '660', '206', '551']
['430', '309', '874', '292', '354', '466', '403', '946', '726', '12', '560', '770', '787', '992', '513', '208', '797', '642', '253', '608']
['765', '161', '842', '299', '982', '987', '454', '800', '478', '187', '882', '633', '799', '334', '723', '10', '613', '921', '901', '577']
['90', '42', '548', '640', '416', '344', '925', '280', '307', '252', '951', '593', '272', '888', '816', '267', '439', '198', '949', '84']
['830', '369', '490', '285', '171', '465', '814', '894', '848', '441', '665', '429', '801', '526', '843', '381', '448', '408', '541', '857']
['411', '791', '823', '396', '898', '837', '810', '250', '827', '473', '109', '41', '201', '145', '829', '368', '471', '190', '794', '98']
['849', '74', '259', '156', '955', '876', '195', '237', '937', '211', '520', '419', '938', '173', '412', '658', '686', '23', '528', '605']
['50', '788', '225', '386', '918', '535', '699', '828', '400', '160', '532', '714', '566', '181', '53', '825', '99', '648', '976', '805']
['584', '969', '239', '772', '856', '446', '846', '583', '379', '595', '598', '159', '620', '636', '363', '671', '712', '847', '124', '114']
['701', '503', '219', '434', '961', '983', '773', '923', '750', '769', '675', '73', '838', '323', '669', '740', '68', '16', '172', '220']
['910', '808', '696', '719', '65', '11', '596', '9', '385', '146', '972', '708', '444', '844', '893', '789', '25', '542', '29', '637']
['393', '786', '424', '177', '63', '738', '228', '389', '268', '116', '203', '687', '113', '747', '119', '79', '933', '130', '710', '192']
['132', '138', '549', '804', '185', '37', '452', '724', '83', '745', '749', '26', '962', '579', '366', '255', '32', '892', '885', '919']
['547', '347', '154', '38', '854', '115', '175', '213', '406', '425', '867', '780', '21', '746', '350', '631', '164', '232', '131', '188']
['404', '652', '991', '95', '604', '948', '61', '818', '371', '391', '480', '284', '731', '981', '450', '860', '234', '591', '761', '496']
['144', '705', '56', '939', '597', '512', '186', '474', '831', '13', '859', '628', '875', '525', '508', '654', '899', '472', '64', '576']
['215', '834', '581', '149', '881', '721', '911', '798', '281', '378', '295', '274', '174', '978', '511', '606', '539', '727', '754', '742']
['553', '421', '308', '855', '663', '493', '795', '932', '820', '996', '402', '672', '456', '101', '683', '716', '353', '437', '229', '257']
['907', '457', '906', '72', '420', '902', '488', '362', '862', '342', '802', '341', '659', '980', '47', '753', '151', '936', '680', '476']
['43', '614', '945', '666', '78', '48', '326', '305', '67', '947', '414', '51', '587', '460', '81', '390', '916', '757', '557', '289']
['989', '650', '352', '792', '459', '751', '889', '148', '950', '533', '509', '582', '82', '600', '959', '336', '958', '877', '485', '610']
['443', '216', '531', '427', '760', '241', '290', '777', '691', '607', '685', '249', '545', '221', '69', '518', '399', '184', '133', '626']
['752', '235', '256', '494', '469', '863', '975', '868', '194', '453', '282', '361', '667', '297', '924', '4', '152', '872', '668', '196']
['422', '929', '316', '592', '971', '345', '298', '609', '763', '303', '320', '226', '417', '790', '700', '880', '809', '27', '954', '410']
['616', '233', '91', '328', '662', '136', '887', '766', '370', '709', '182', '771', '415', '97', '819', '625', '986', '432', '698', '718']
['247', '126', '657', '500', '380', '325', '748', '313', '169', '674', '135', '615', '87', '826', '729', '515', '105', '217', '112', '505']
['537', '554', '143', '501', '922', '850', '909', '578', '649', '140', '497', '70', '651', '611', '590', '214', '481', '487', '189', '387']
['0', '567', '697', '31', '137', '20', '815', '845', '248', '517', '621', '384', '55', '796', '853', '445', '690', '287', '163', '470']
['321', '618', '127', '304', '630', '491', '781', '271', '96', '684', '784', '736', '891', '896', '984', '218', '728', '585', '768', '793']
['428', '317', '963', '337', '643', '588', '373', '28', '449', '519', '301', '524', '355', '873', '673', '475', '8', '869', '966', '722']
['653', '679', '575', '338', '6', '965', '573', '89', '230', '388', '258', '34', '979', '178', '695', '556', '374', '482', '594', '623']
['349', '260', '995', '106', '283', '715', '477', '243', '300', '102', '45', '286', '418', '180', '376', '681', '861', '176', '139', '883']
['905', '36', '634', '546', '5', '941', '516', '977', '536', '744', '35', '426', '322', '540', '953', '348', '57', '108', '677', '339']
['692', '202', '912', '375', '767', '569', '720', '564', '40', '638', '504', '251', '405', '644', '273', '960', '458', '359', '865', '423']
['730', '438', '647', '974', '118', '943', '580', '129', '227', '833', '223', '462', '193', '803', '589', '122', '263', '492', '170', '62']
['534', '94', '236', '120', '205', '561', '333', '246', '128', '397', '928', '15', '76', '835', '514', '467', '153', '210', '693', '735']
['930', '17', '312', '167', '264', '498', '335', '183', '435', '890', '66', '332', '904', '383', '60', '103', '956', '934', '392', '58']
['1', '527', '351', '107', '288', '707', '80', '484', '957', '586', '664', '401', '565', '394', '358', '764', '988', '952', '30', '599']
['999', '395', '262', '997', '776', '455', '544', '447', '543', '121', '758', '645', '785', '125', '670', '530', '18', '993', '521', '464']
['495', '559', '238', '678', '572', '817', '110', '100', '372', '294', '985', '866', '741', '558', '269', '871', '330', '431', '970', '39']
['254', '409', '377', '318', '783', '775', '222', '529', '85', '22', '689', '360', '851', '884', '162', '931', '944', '574', '967', '737']
['245', '779', '778', '166', '440', '635', '523', '656', '179', '682', '277', '926', '296', '913', '629', '33', '261', '364', '367', '93']
['111', '398', '244', '468', '920', '879', '209', '436', '506', '199', '935', '293', '461', '71', '382', '973', '703', '242', '191', '407']
['117', '311', '601', '134', '329', '319', '903', '732', '275', '44', '204', '489', '839', '755', '774', '694', '147', '739', '822', '878']
