['808', '622', '495', '28', '132', '733', '52', '396', '491', '492', '637', '851', '713', '158', '278', '670', '884', '115', '190', '775']
['56', '657', '403', '0', '654', '382', '257', '773', '939', '825', '120', '360', '752', '130', '958', '273', '189', '714', '521', '448']
['323', '917', '205', '76', '708', '585', '11', '643', '804', '727', '842', '679', '318', '40', '108', '816', '760', '827', '204', '656']
['391', '504', '292', '465', '433', '576', '782', '113', '84', '619', '69', '980', '672', '277', '902', '85', '677', '145', '114', '626']
['777', '963', '374', '316', '136', '909', '535', '833', '460', '207', '986', '904', '756', '739', '692', '126', '787', '27', '392', '860']
['159', '347', '375', '632', '871', '367', '268', '503', '832', '634', '582', '528', '489', '600', '709', '769', '57', '46', '853', '945']
['266', '523', '688', '859', '841', '251', '249', '170', '325', '245', '259', '895', '270', '770', '765', '682', '759', '951', '411', '209']
['71', '310', '343', '119', '509', '213', '891', '174', '453', '20', '616', '286', '490', '718', '10', '405', '771', '944', '680', '293']
['789', '971', '297', '625', '276', '443', '315', '790', '785', '573', '61', '854', '474', '357', '342', '901', '648', '139', '807', '454']
['4', '79', '778', '215', '306', '289', '978', '925', '767', '183', '768', '883', '222', '125', '261', '673', '542', '345', '545', '862']
['263', '766', '368', '358', '444', '163', '549', '244', '603', '840', '496', '592', '486', '866', '985', '502', '703', '890', '184', '330']
['32', '30', '966', '758', '596', '393', '779', '805', '633', '662', '941', '993', '731', '793', '252', '152', '143', '50', '928', '168']
['721', '896', '459', '13', '390', '480', '531', '694', '933', '309', '171', '210', '614', '349', '511', '636', '319', '82', '67', '285']
['150', '356', '740', '331', '815', '607', '870', '781', '178', '574', '924', '518', '231', '982', '39', '973', '226', '359', '691', '154']
['861', '730', '166', '881', '848', '707', '948', '660', '313', '593', '14', '674', '937', '950', '63', '746', '594', '59', '560', '696']
['212', '401', '264', '328', '834', '706', '112', '417', '942', '710', '640', '541', '442', '956', '60', '806', '949', '935', '385', '364']
['179', '722', '58', '66', '422', '68', '597', '387', '255', '981', '732', '352', '999', '615', '720', '828', '164', '450', '177', '17']
['197', '12', '784', '562', '745', '467', '864', '877', '514', '74', '246', '380', '435', '617', '436', '307', '919', '572', '646', '972']
['248', '599', '957', '921', '900', '239', '753', '983', '341', '602', '920', '515', '850', '624', '564', '456', '826', '683', '762', '370']
['29', '471', '735', '874', '73', '376', '156', '62', '15', '344', '269', '750', '326', '533', '580', '575', '478', '223', '93', '149']
['581', '960', '429', '107', '791', '232', '644', '8', '513', '907', '865', '976', '613', '650', '118', '817', '472', '410', '258', '281']
['811', '439', '506', '51', '87', '199', '129', '473', '333', '965', '537', '21', '187', '81', '857', '915', '724', '308', '544', '610']
['361', '838', '892', '123', '169', '110', '407', '484', '836', '458', '652', '105', '761', '796', '962', '795', '363', '947', '203', '844']
['547', '629', '729', '475', '994', '49', '888', '134', '53', '872', '882', '142', '295', '272', '90', '447', '111', '772', '83', '651']
['404', '665', '280', '470', '365', '663', '240', '704', '165', '940', '160', '611', '845', '621', '569', '151', '353', '233', '627', '381']
['202', '910', '302', '822', '914', '567', '141', '936', '855', '423', '220', '749', '23', '196', '824', '893', '618', '102', '408', '823']
['903', '236', '847', '455', '225', '86', '843', '889', '224', '219', '432', '305', '512', '647', '124', '191', '849', '146', '554', '406']
['689', '524', '570', '715', '716', '287', '96', '954', '536', '792', '106', '351', '78', '117', '612', '974', '763', '620', '250', '394']
['346', '98', '590', '479', '103', '835', '371', '431', '389', '605', '279', '604', '324', '426', '335', '558', '253', '378', '609', '998']
['519', '369', '402', '886', '510', '639', '608', '586', '88', '747', '36', '127', '548', '466', '162', '666', '711', '26', '507', '24']
['182', '493', '133', '275', '425', '927', '186', '923', '516', '312', '75', '799', '420', '943', '188', '543', '415', '693', '339', '797']
['742', '905', '911', '831', '228', '416', '814', '16', '89', '906', '44', '430', '879', '397', '362', '238', '681', '468', '661', '147']
['992', '241', '930', '216', '878', '695', '175', '148', '227', '938', '400', '185', '726', '837', '288', '977', '584', '955', '869', '527']
['530', '705', '43', '751', '712', '237', '446', '809', '684', '301', '583', '388', '135', '653', '294', '192', '598', '167', '820', '172']
['122', '717', '100', '38', '338', '427', '675', '953', '916', '314', '757', '719', '274', '929', '452', '959', '296', '885', '970', '525']
['94', '208', '206', '964', '354', '595', '469', '138', '48', '918', '412', '922', '659', '494', '234', '218', '701', '243', '457', '794']
['588', '95', '975', '563', '568', '211', '116', '534', '500', '438', '697', '908', '265', '461', '635', '200', '284', '658', '80', '912']
['995', '818', '499', '642', '476', '676', '989', '440', '868', '991', '214', '852', '176', '7', '755', '254', '810', '399', '413', '221']
['641', '961', '565', '97', '92', '109', '520', '298', '181', '424', '386', '858', '645', '198', '979', '256', '700', '6', '788', '414']
['738', '72', '230', '481', '304', '303', '180', '990', '538', '557', '64', '556', '764', '887', '505', '260', '428', '137', '926', '638']
['121', '571', '271', '99', '348', '131', '931', '193', '867', '812', '262', '31', '498', '932', '322', '578', '451', '373', '104', '894']
['856', '311', '669', '267', '77', '685', '813', '606', '372', '350', '2', '668', '783', '332', '161', '65', '488', '800', '819', '898']
['144', '664', '587', '690', '47', '194', '45', '91', '728', '655', '398', '157', '540', '723', '379', '579', '35', '532', '774', '334']
['173', '601', '321', '501', '561', '737', '3', '419', '876', '283', '55', '780', '463', '336', '952', '299', '786', '830', '699', '247']
['667', '242', '552', '434', '628', '546', '997', '566', '968', '987', '1', '337', '678', '37', '829', '702', '41', '743', '487', '153']
['631', '340', '630', '776', '18', '897', '934', '913', '22', '462', '803', '329', '33', '235', '291', '798', '741', '875', '485', '25']
['9', '508', '300', '101', '477', '377', '623', '128', '517', '736', '591', '744', '754', '5', '555', '355', '34', '880', '418', '140']
['229', '698', '725', '946', '421', '195', '522', '734', '384', '366', '383', '483', '539', '996', '873', '801', '320', '395', '441', '649']
['687', '497', '155', '839', '70', '899', '553', '863', '290', '19', '821', '437', '464', '54', '984', '969', '846', '550', '559', '802']
['42', '201', '482', '988', '671', '282', '445', '529', '686', '409', '526', '967', '327', '589', '577', '748', '449', '217', '317', '551']
