['448', '207', '151', '678', '461', '209', '733', '388', '590', '357', '187', '266', '39', '21', '153', '654', '172', '168', '754', '423', '705', '400', '238', '356', '555', '477', '452', '532', '102', '314', '192', '725', '467', '587', '69', '366', '19', '520', '202', '783', '531', '735', '61', '66', '212', '303', '689', '482', '355', '114']
['32', '560', '546', '166', '183', '148', '504', '376', '391', '110', '227', '451', '145', '89', '676', '558', '458', '8', '476', '721', '224', '579', '784', '325', '340', '747', '213', '268', '248', '473', '46', '294', '249', '662', '17', '123', '688', '599', '254', '139', '409', '309', '639', '244', '640', '491', '390', '299', '43', '565']
['585', '235', '737', '630', '710', '595', '159', '789', '4', '698', '537', '77', '345', '550', '529', '353', '734', '188', '571', '115', '798', '190', '279', '330', '713', '29', '191', '59', '459', '454', '9', '0', '691', '769', '384', '489', '456', '658', '514', '715', '131', '655', '610', '407', '792', '389', '709', '308', '744', '755']
['156', '507', '498', '247', '403', '777', '199', '116', '211', '286', '513', '33', '470', '395', '368', '179', '197', '505', '83', '728', '133', '793', '637', '416', '760', '441', '665', '588', '55', '417', '573', '361', '312', '575', '612', '719', '748', '781', '321', '326', '706', '538', '593', '108', '731', '677', '410', '225', '292', '332']
['374', '643', '540', '435', '738', '433', '263', '150', '530', '696', '344', '480', '301', '429', '315', '48', '119', '739', '404', '94', '206', '484', '717', '365', '72', '668', '363', '427', '271', '759', '96', '515', '196', '322', '641', '420', '352', '563', '109', '627', '37', '186', '572', '58', '497', '521', '628', '692', '411', '51']
['528', '304', '463', '291', '122', '307', '140', '377', '143', '702', '780', '683', '137', '219', '285', '714', '605', '364', '695', '401', '228', '466', '217', '75', '597', '241', '663', '297', '440', '129', '490', '218', '182', '398', '545', '245', '240', '591', '392', '468', '329', '237', '5', '175', '302', '36', '177', '594', '680', '576']
['757', '694', '535', '413', '708', '412', '306', '257', '11', '580', '193', '265', '629', '464', '86', '471', '638', '136', '264', '645', '574', '583', '106', '602', '85', '472', '787', '667', '450', '763', '176', '280', '10', '144', '25', '502', '76', '394', '47', '101', '636', '469', '408', '718', '337', '548', '231', '328', '772', '436']
['457', '634', '354', '697', '746', '687', '632', '30', '338', '16', '672', '460', '547', '171', '578', '614', '267', '486', '252', '262', '173', '358', '561', '623', '117', '615', '165', '421', '726', '381', '646', '522', '194', '582', '465', '164', '208', '147', '155', '712', '431', '107', '305', '771', '84', '20', '786', '603', '130', '31']
['790', '543', '455', '154', '424', '488', '372', '270', '120', '624', '736', '1', '272', '70', '316', '13', '656', '310', '564', '596', '300', '28', '493', '723', '256', '633', '261', '625', '499', '618', '419', '554', '255', '568', '604', '761', '296', '111', '369', '124', '399', '170', '351', '478', '198', '500', '383', '373', '764', '778']
['104', '323', '333', '243', '149', '425', '428', '91', '236', '703', '539', '653', '785', '282', '742', '393', '447', '146', '570', '799', '81', '189', '496', '277', '90', '215', '64', '386', '559', '527', '68', '609', '82', '178', '229', '791', '26', '331', '617', '616', '375', '682', '684', '258', '284', '685', '510', '774', '99', '167']
['752', '495', '161', '293', '642', '52', '405', '195', '347', '158', '551', '782', '432', '475', '608', '647', '134', '553', '50', '174', '631', '234', '42', '577', '380', '649', '443', '44', '281', '749', '648', '606', '517', '704', '756', '552', '327', '223', '339', '98', '601', '288', '740', '253', '78', '169', '750', '152', '34', '87']
['387', '367', '406', '444', '779', '335', '660', '494', '765', '762', '581', '732', '233', '657', '562', '724', '313', '341', '162', '80', '766', '716', '379', '775', '185', '12', '290', '135', '671', '673', '289', '259', '445', '770', '449', '184', '745', '622', '222', '274', '242', '439', '378', '157', '501', '598', '525', '693', '600', '318']
['524', '619', '346', '214', '343', '533', '121', '105', '220', '758', '127', '567', '205', '334', '659', '251', '317', '479', '711', '200', '100', '730', '751', '295', '97', '62', '767', '359', '349', '788', '544', '41', '132', '226', '566', '348', '370', '556', '650', '204', '569', '63', '118', '437', '797', '3', '360', '2', '795', '661']
['679', '239', '613', '27', '796', '681', '506', '462', '125', '14', '446', '210', '422', '674', '743', '201', '45', '611', '138', '230', '415', '382', '18', '221', '250', '536', '516', '362', '216', '666', '38', '275', '442', '396', '487', '690', '342', '434', '453', '492', '7', '88', '311', '232', '181', '287', '54', '720', '128', '664']
['142', '426', '512', '509', '260', '67', '24', '71', '483', '6', '60', '112', '541', '371', '385', '584', '607', '126', '203', '626', '592', '246', '589', '652', '773', '518', '670', '350', '113', '15', '651', '485', '320', '620', '53', '741', '621', '56', '92', '180', '298', '523', '508', '65', '519', '269', '503', '635', '549', '474']
['273', '40', '686', '586', '675', '700', '74', '557', '418', '22', '57', '35', '430', '481', '141', '23', '397', '644', '511', '707', '276', '768', '722', '542', '95', '414', '701', '324', '727', '669', '776', '73', '103', '699', '160', '93', '319', '729', '794', '753', '534', '336', '79', '163', '49', '402', '438', '283', '278', '526']
