['266', '423', '158', '248', '322', '541', '741', '118', '316', '291']
['4', '715', '890', '149', '831', '487', '865', '446', '632', '859']
['721', '37', '817', '178', '454', '535', '172', '891', '499', '261']
['811', '318', '527', '294', '32', '733', '571', '657', '881', '198']
['346', '589', '941', '658', '613', '364', '695', '510', '562', '924']
['519', '45', '123', '189', '11', '645', '218', '992', '470', '720']
['641', '801', '425', '930', '928', '17', '104', '908', '270', '830']
['424', '714', '680', '106', '404', '23', '340', '739', '479', '673']
['475', '480', '398', '677', '283', '70', '810', '927', '776', '492']
['886', '770', '511', '520', '113', '405', '642', '646', '610', '678']
['621', '939', '918', '484', '959', '606', '255', '984', '459', '157']
['847', '789', '162', '319', '766', '174', '640', '926', '155', '893']
['129', '327', '380', '560', '608', '130', '934', '856', '103', '375']
['888', '523', '245', '948', '915', '170', '692', '100', '572', '136']
['402', '169', '564', '498', '220', '976', '299', '857', '410', '670']
['675', '262', '922', '185', '774', '438', '407', '321', '211', '247']
['165', '783', '128', '552', '767', '750', '367', '373', '546', '91']
['292', '210', '457', '842', '638', '887', '772', '288', '676', '956']
['101', '483', '251', '710', '824', '626', '304', '339', '433', '254']
['15', '351', '159', '827', '428', '788', '597', '88', '377', '416']
['659', '421', '759', '137', '853', '43', '805', '808', '762', '798']
['825', '503', '592', '974', '909', '953', '141', '450', '257', '590']
['573', '534', '765', '108', '722', '743', '401', '122', '268', '574']
['338', '153', '209', '406', '461', '310', '308', '64', '665', '411']
['214', '655', '231', '164', '585', '422', '370', '861', '913', '78']
['611', '167', '471', '442', '57', '836', '13', '977', '843', '244']
['393', '284', '635', '477', '233', '731', '662', '464', '875', '497']
['539', '779', '515', '468', '296', '216', '109', '60', '469', '62']
['120', '301', '168', '870', '349', '61', '609', '440', '29', '630']
['20', '742', '755', '690', '841', '27', '672', '63', '279', '938']
['753', '3', '717', '355', '320', '738', '660', '807', '493', '145']
['806', '643', '686', '704', '223', '778', '303', '996', '607', '820']
['558', '682', '193', '846', '816', '654', '329', '476', '800', '325']
['563', '773', '823', '894', '576', '334', '619', '652', '814', '998']
['50', '22', '414', '282', '30', '873', '26', '72', '426', '734']
['41', '399', '191', '54', '781', '669', '960', '16', '9', '345']
['555', '176', '287', '689', '505', '543', '362', '5', '443', '663']
['745', '451', '701', '187', '794', '243', '486', '388', '202', '36']
['580', '150', '436', '579', '923', '360', '547', '916', '453', '25']
['569', '125', '131', '376', '837', '151', '885', '944', '278', '787']
['281', '126', '696', '473', '495', '882', '352', '242', '482', '947']
['381', '674', '354', '629', '236', '114', '496', '910', '33', '47']
['56', '314', '267', '754', '963', '79', '42', '358', '341', '439']
['391', '529', '81', '921', '617', '324', '434', '760', '732', '542']
['777', '628', '966', '374', '688', '188', '839', '89', '868', '524']
['371', '532', '163', '335', '66', '862', '988', '687', '276', '651']
['903', '173', '217', '937', '799', '286', '897', '803', '968', '764']
['995', '705', '667', '490', '489', '87', '315', '531', '383', '850']
['121', '397', '205', '533', '986', '368', '53', '627', '31', '12']
['144', '991', '860', '272', '969', '148', '978', '225', '343', '7']
['844', '213', '796', '196', '605', '957', '112', '119', '994', '235']
['175', '403', '973', '588', '466', '925', '735', '819', '919', '298']
['229', '797', '769', '561', '256', '224', '96', '713', '517', '39']
