['182', '323', '381', '333', '770', '286', '101', '445', '936', '423', '369', '916', '131', '941', '118', '603', '509', '251', '192', '113', '864', '956', '612', '472', '779', '457', '338', '836', '253', '761', '270', '438', '181', '774', '99', '359', '232', '94', '588', '837', '402', '493', '899', '799', '924', '631', '670', '952', '852', '1']
['123', '262', '643', '737', '304', '895', '800', '362', '502', '762', '965', '71', '513', '654', '4', '876', '780', '528', '351', '464', '344', '568', '197', '938', '144', '417', '791', '911', '337', '425', '732', '624', '216', '157', '55', '387', '759', '583', '451', '59', '383', '523', '23', '12', '0', '411', '801', '450', '931', '671']
['269', '845', '42', '368', '14', '709', '308', '156', '907', '93', '627', '266', '589', '8', '872', '549', '395', '419', '6', '230', '925', '148', '695', '529', '566', '448', '822', '202', '903', '733', '416', '107', '565', '964', '355', '745', '764', '427', '914', '930', '82', '731', '186', '302', '840', '746', '37', '988', '727', '68']
['621', '910', '973', '662', '538', '142', '819', '2', '153', '147', '32', '431', '150', '412', '84', '327', '60', '828', '198', '478', '296', '98', '812', '556', '124', '74', '437', '294', '171', '484', '86', '923', '303', '282', '524', '651', '767', '613', '716', '861', '893', '968', '641', '602', '726', '996', '163', '330', '677', '576']
['377', '207', '430', '166', '406', '957', '596', '194', '687', '21', '632', '875', '184', '881', '102', '609', '858', '604', '645', '83', '158', '991', '515', '986', '188', '174', '756', '491', '536', '586', '886', '200', '926', '295', '927', '161', '276', '105', '40', '196', '449', '719', '459', '244', '769', '492', '133', '993', '79', '364']
['222', '235', '577', '225', '672', '292', '389', '998', '75', '360', '584', '947', '874', '636', '628', '30', '233', '63', '527', '939', '917', '773', '785', '315', '888', '366', '541', '455', '138', '390', '616', '766', '129', '414', '87', '775', '868', '545', '889', '890', '481', '462', '393', '504', '856', '563', '950', '763', '508', '497']
['750', '728', '650', '817', '560', '595', '878', '951', '47', '897', '859', '642', '91', '848', '782', '325', '271', '298', '550', '367', '480', '340', '659', '321', '50', '404', '503', '341', '531', '987', '479', '982', '500', '152', '114', '442', '622', '958', '673', '173', '243', '743', '132', '429', '7', '649', '944', '658', '285', '518']
['273', '546', '48', '781', '397', '227', '456', '246', '712', '255', '16', '65', '705', '657', '231', '555', '578', '400', '892', '313', '363', '399', '254', '832', '3', '386', '331', '752', '664', '100', '519', '240', '915', '831', '805', '418', '490', '501', '922', '850', '980', '136', '22', '570', '887', '88', '234', '81', '108', '165']
['590', '380', '989', '758', '228', '533', '76', '45', '953', '135', '796', '208', '940', '857', '912', '714', '205', '343', '183', '532', '249', '361', '453', '543', '617', '169', '865', '540', '722', '373', '245', '653', '686', '398', '116', '738', '175', '656', '320', '342', '691', '264', '203', '979', '667', '620', '221', '860', '160', '680']
['322', '291', '974', '842', '975', '710', '806', '201', '723', '90', '35', '526', '119', '109', '718', '256', '955', '238', '933', '573', '128', '46', '401', '587', '69', '349', '976', '618', '365', '682', '426', '214', '685', '753', '534', '821', '690', '252', '375', '553', '420', '316', '67', '891', '593', '669', '825', '210', '229', '693']
['904', '634', '239', '391', '777', '569', '172', '877', '772', '396', '151', '452', '193', '871', '284', '482', '51', '178', '978', '757', '668', '809', '652', '409', '601', '783', '640', '66', '663', '516', '689', '635', '619', '551', '97', '297', '141', '306', '485', '717', '647', '814', '879', '898', '935', '334', '180', '336', '615', '521']
['378', '421', '407', '792', '247', '209', '388', '199', '223', '708', '542', '242', '458', '476', '768', '263', '257', '696', '605', '179', '830', '928', '905', '77', '467', '811', '880', '58', '990', '826', '833', '959', '258', '960', '683', '486', '506', '778', '544', '946', '894', '446', '675', '839', '384', '49', '311', '970', '655', '496']
['226', '488', '971', '678', '646', '260', '639', '28', '999', '900', '771', '433', '424', '511', '630', '559', '784', '328', '977', '507', '827', '130', '734', '847', '520', '217', '834', '855', '335', '466', '78', '356', '684', '846', '802', '125', '742', '267', '312', '748', '969', '352', '394', '146', '317', '942', '61', '57', '24', '735']
['702', '692', '997', '906', '354', '697', '268', '25', '56', '277', '454', '816', '558', '606', '13', '934', '428', '127', '11', '983', '307', '283', '539', '371', '929', '688', '470', '739', '793', '963', '162', '932', '17', '44', '187', '432', '557', '29', '608', '943', '760', '170', '447', '633', '810', '835', '883', '572', '189', '410']
['168', '995', '495', '498', '10', '403', '300', '357', '281', '473', '674', '681', '215', '64', '740', '823', '918', '552', '20', '96', '562', '89', '347', '896', '374', '122', '290', '19', '967', '288', '870', '120', '715', '104', '701', '278', '487', '599', '571', '754', '434', '713', '5', '699', '582', '598', '26', '348', '185', '790']
['72', '592', '137', '512', '945', '332', '443', '461', '465', '611', '33', '741', '704', '483', '579', '849', '580', '908', '436', '724', '301', '314', '279', '206', '853', '794', '117', '95', '250', '43', '346', '730', '666', '665', '38', '992', '591', '392', '191', '318', '788', '237', '326', '972', '851', '274', '844', '159', '62', '949']
['574', '694', '629', '164', '140', '370', '981', '867', '676', '522', '711', '901', '219', '707', '54', '854', '413', '27', '703', '265', '661', '372', '962', '869', '729', '866', '111', '679', '224', '80', '863', '112', '212', '638', '405', '376', '241', '505', '167', '610', '121', '280', '994', '36', '517', '984', '813', '514', '902', '626']
['954', '961', '435', '744', '489', '797', '648', '625', '698', '818', '820', '143', '548', '554', '195', '804', '786', '909', '339', '353', '600', '824', '921', '460', '475', '73', '18', '966', '444', '937', '115', '204', '218', '607', '985', '510', '803', '660', '807', '575', '106', '126', '177', '564', '494', '155', '41', '755', '53', '720']
