['269', '94', '420', '299', '184', '389', '110', '129', '47', '153']
['460', '421', '314', '10', '430', '218', '362', '307', '360', '190']
['125', '116', '417', '84', '273', '9', '161', '443', '19', '64']
['55', '457', '343', '380', '221', '317', '33', '92', '448', '151']
['481', '138', '495', '492', '368', '93', '445', '212', '474', '135']
['396', '143', '120', '65', '491', '177', '69', '352', '494', '136']
['224', '68', '309', '238', '71', '249', '263', '8', '24', '282']
['178', '76', '356', '91', '283', '183', '57', '497', '431', '23']
['483', '203', '42', '354', '86', '475', '425', '385', '117', '70']
['63', '46', '21', '99', '209', '447', '148', '0', '304', '44']
['284', '207', '226', '382', '48', '18', '397', '294', '131', '90']
['412', '130', '45', '80', '101', '96', '330', '155', '286', '124']
['102', '167', '132', '223', '377', '413', '394', '152', '326', '391']
['146', '219', '364', '100', '452', '388', '277', '408', '118', '215']
['98', '405', '272', '331', '333', '108', '458', '247', '127', '150']
['418', '171', '245', '454', '170', '348', '429', '378', '14', '182']
['241', '31', '423', '456', '267', '179', '244', '469', '266', '211']
['208', '324', '393', '353', '198', '473', '222', '355', '371', '237']
['373', '499', '414', '484', '213', '461', '201', '95', '111', '156']
['115', '449', '262', '319', '144', '89', '255', '186', '315', '189']
['227', '295', '1', '220', '365', '432', '328', '40', '5', '322']
['451', '459', '276', '119', '487', '52', '239', '192', '250', '236']
['66', '133', '180', '455', '379', '403', '163', '404', '105', '271']
['407', '310', '375', '306', '415', '305', '233', '231', '62', '27']
['288', '438', '398', '145', '22', '311', '296', '234', '73', '486']
['147', '312', '463', '228', '479', '196', '75', '357', '256', '316']
['200', '416', '472', '275', '104', '338', '261', '446', '59', '169']
['56', '97', '128', '367', '140', '72', '39', '246', '402', '258']
['4', '103', '25', '16', '496', '347', '154', '205', '165', '67']
['32', '383', '465', '199', '214', '260', '174', '134', '225', '409']
['197', '77', '323', '335', '114', '344', '498', '242', '265', '440']
['346', '334', '327', '7', '61', '471', '185', '478', '482', '325']
['121', '204', '60', '321', '206', '336', '195', '370', '410', '340']
['437', '157', '419', '149', '106', '287', '43', '400', '297', '28']
['176', '107', '435', '78', '268', '422', '318', '251', '467', '291']
['41', '168', '470', '11', '187', '26', '85', '434', '12', '490']
['193', '313', '439', '300', '493', '374', '289', '480', '82', '173']
['444', '17', '113', '49', '384', '81', '109', '332', '395', '50']
['468', '303', '476', '137', '427', '248', '87', '3', '337', '216']
['369', '15', '426', '292', '466', '253', '2', '139', '450', '341']
['399', '462', '381', '464', '160', '298', '442', '202', '358', '126']
['349', '20', '175', '235', '232', '35', '376', '359', '142', '386']
['301', '345', '488', '54', '230', '390', '240', '392', '159', '122']
['83', '29', '164', '350', '436', '53', '270', '406', '281', '30']
['351', '401', '308', '181', '188', '243', '290', '302', '162', '217']
['252', '38', '485', '79', '51', '433', '489', '339', '387', '210']
['123', '58', '361', '280', '229', '366', '172', '372', '36', '74']
['13', '166', '6', '428', '453', '191', '278', '477', '274', '34']
['254', '141', '285', '342', '293', '257', '279', '194', '259', '424']
['329', '112', '264', '320', '158', '363', '411', '88', '441', '37']
