['345', '351', '63', '60', '129', '665', '651', '677', '796', '432']
['661', '312', '657', '713', '454', '344', '258', '675', '55', '790']
['419', '705', '618', '501', '43', '659', '321', '17', '242', '47']
['603', '42', '564', '248', '198', '666', '669', '538', '622', '727']
['304', '707', '186', '718', '100', '577', '687', '113', '333', '117']
['756', '531', '776', '738', '435', '303', '277', '509', '311', '710']
['334', '341', '166', '86', '609', '494', '539', '300', '293', '146']
['533', '697', '784', '270', '639', '131', '279', '701', '160', '671']
['151', '236', '719', '175', '562', '290', '172', '74', '139', '289']
['760', '202', '740', '656', '684', '109', '158', '266', '702', '789']
['53', '291', '2', '391', '152', '322', '423', '786', '749', '782']
['342', '630', '283', '183', '339', '346', '226', '19', '163', '545']
['721', '3', '674', '610', '764', '276', '33', '352', '211', '280']
['404', '457', '791', '465', '649', '528', '34', '127', '663', '568']
['742', '544', '416', '542', '23', '102', '613', '209', '765', '4']
['499', '41', '647', '597', '39', '572', '210', '439', '184', '367']
['263', '704', '736', '612', '695', '376', '752', '96', '259', '729']
['328', '420', '157', '530', '686', '317', '225', '262', '689', '521']
['455', '395', '650', '785', '299', '366', '413', '732', '68', '325']
['38', '219', '757', '495', '553', '61', '652', '179', '547', '411']
['73', '504', '405', '36', '297', '205', '744', '595', '215', '452']
['467', '78', '667', '180', '747', '673', '664', '560', '320', '486']
['9', '75', '260', '323', '678', '10', '770', '602', '660', '698']
['491', '543', '549', '237', '5', '526', '648', '176', '485', '0']
['482', '165', '171', '125', '371', '442', '589', '403', '780', '635']
['98', '223', '350', '298', '232', '359', '169', '35', '626', '397']
['516', '26', '238', '459', '447', '773', '256', '476', '332', '227']
['245', '45', '458', '775', '512', '161', '241', '224', '585', '746']
['338', '731', '252', '355', '84', '272', '389', '365', '128', '190']
['668', '441', '369', '137', '370', '97', '588', '587', '620', '384']
['120', '569', '596', '119', '234', '399', '393', '489', '381', '67']
['461', '490', '524', '427', '363', '106', '70', '624', '251', '681']
['633', '214', '207', '134', '336', '62', '362', '79', '541', '104']
['616', '578', '692', '532', '382', '269', '621', '189', '581', '703']
['6', '679', '301', '132', '748', '114', '753', '573', '167', '383']
['118', '110', '566', '511', '149', '557', '473', '629', '412', '555']
['386', '604', '728', '212', '394', '690', '724', '699', '360', '372']
['221', '559', '601', '643', '327', '498', '354', '228', '743', '642']
['192', '59', '313', '440', '682', '401', '493', '582', '584', '548']
['783', '286', '672', '576', '141', '22', '398', '307', '506', '422']
['140', '571', '182', '396', '715', '357', '794', '282', '768', '550']
['164', '265', '143', '95', '324', '444', '797', '8', '330', '319']
['450', '519', '712', '792', '154', '159', '500', '798', '594', '477']
['12', '779', '46', '429', '80', '218', '761', '81', '115', '199']
['217', '107', '94', '375', '257', '676', '617', '356', '316', '32']
['750', '409', '466', '625', '261', '574', '766', '739', '561', '433']
['551', '492', '644', '535', '273', '57', '348', '431', '203', '406']
['188', '464', '150', '714', '637', '385', '44', '408', '525', '456']
['655', '737', '145', '558', '415', '696', '240', '27', '615', '556']
['600', '619', '144', '754', '795', '460', '185', '124', '168', '772']
['693', '593', '552', '638', '527', '685', '233', '793', '515', '15']
['71', '479', '777', '364', '716', '85', '378', '162', '448', '708']
['13', '462', '343', '156', '25', '446', '194', '174', '438', '281']
['253', '691', '579', '771', '353', '387', '605', '628', '546', '310']
['641', '400', '730', '204', '755', '709', '177', '255', '788', '606']
['173', '222', '529', '239', '725', '683', '502', '373', '417', '123']
['368', '758', '130', '424', '735', '187', '30', '250', '247', '302']
['64', '37', '658', '437', '631', '513', '181', '306', '496', '421']
['267', '503', '77', '52', '654', '781', '275', '216', '231', '590']
['434', '474', '759', '722', '670', '745', '72', '468', '200', '392']
['101', '235', '243', '111', '623', '193', '287', '488', '471', '518']
['536', '31', '7', '484', '763', '208', '436', '246', '24', '337']
['565', '201', '469', '741', '28', '135', '196', '591', '213', '29']
['717', '309', '65', '614', '153', '147', '443', '653', '230', '108']
['517', '480', '51', '583', '470', '645', '414', '410', '449', '83']
['694', '607', '294', '507', '428', '11', '769', '318', '329', '390']
['48', '575', '640', '136', '191', '315', '49', '20', '445', '229']
['133', '284', '451', '308', '91', '598', '271', '374', '586', '288']
['66', '377', '340', '87', '634', '778', '570', '636', '662', '89']
['592', '99', '554', '510', '481', '611', '522', '402', '268', '40']
['105', '93', '388', '347', '142', '292', '508', '425', '56', '599']
['16', '361', '296', '82', '380', '170', '475', '726', '563', '122']
['295', '76', '358', '540', '14', '249', '787', '418', '121', '21']
['88', '349', '733', '720', '751', '116', '407', '126', '680', '148']
['326', '254', '646', '580', '523', '69', '706', '520', '50', '58']
['723', '627', '700', '632', '155', '112', '453', '463', '278', '534']
['18', '314', '264', '487', '472', '305', '90', '285', '608', '206']
['379', '799', '274', '220', '711', '688', '244', '483', '767', '1']
['430', '138', '178', '478', '103', '92', '197', '505', '514', '774']
['537', '54', '426', '762', '567', '335', '195', '734', '497', '331']
