['313', '56', '323', '391', '777', '159', '266', '71', '789', '172']
['51', '13', '32', '470', '150', '179', '197', '248', '361', '547']
['340', '404', '202', '689', '346', '519', '182', '742', '530', '94']
['316', '588', '329', '641', '738', '121', '352', '144', '769', '667']
['152', '631', '9', '687', '42', '368', '300', '28', '706', '153']
['97', '465', '36', '632', '208', '119', '625', '581', '712', '499']
['481', '263', '331', '328', '562', '327', '123', '206', '269', '721']
['595', '755', '24', '250', '91', '761', '616', '275', '216', '621']
['728', '38', '99', '267', '763', '690', '501', '434', '776', '459']
['427', '523', '87', '155', '685', '103', '348', '521', '163', '68']
['403', '239', '774', '110', '211', '676', '274', '433', '703', '73']
['302', '377', '257', '696', '535', '268', '695', '429', '249', '315']
['351', '467', '779', '531', '112', '305', '129', '556', '665', '576']
['463', '240', '141', '96', '29', '608', '393', '201', '175', '402']
['539', '0', '675', '180', '165', '3', '292', '636', '553', '101']
['647', '628', '445', '479', '431', '138', '419', '491', '84', '222']
['246', '585', '603', '482', '98', '178', '444', '255', '514', '341']
['677', '15', '536', '169', '107', '516', '684', '565', '607', '181']
['584', '297', '276', '717', '383', '343', '205', '517', '492', '259']
['100', '49', '671', '232', '727', '735', '207', '634', '245', '573']
['131', '183', '662', '75', '710', '708', '694', '458', '8', '423']
['184', '219', '195', '605', '747', '301', '314', '48', '350', '653']
['369', '366', '19', '133', '321', '409', '309', '637', '785', '66']
['586', '338', '43', '214', '398', '55', '1', '591', '679', '134']
['392', '713', '489', '493', '570', '109', '358', '592', '210', '518']
['651', '421', '674', '280', '380', '389', '596', '21', '443', '105']
['370', '156', '142', '582', '611', '749', '654', '127', '230', '173']
['541', '367', '16', '417', '372', '668', '74', '437', '732', '756']
['485', '356', '474', '766', '500', '295', '387', '442', '613', '187']
['656', '92', '324', '244', '283', '726', '135', '615', '598', '88']
['646', '336', '422', '185', '510', '495', '304', '512', '199', '473']
['61', '629', '424', '33', '754', '705', '645', '158', '374', '739']
['27', '793', '571', '171', '120', '86', '365', '212', '624', '639']
['2', '490', '533', '430', '782', '660', '196', '312', '76', '561']
['162', '494', '538', '545', '723', '37', '593', '108', '291', '577']
['90', '672', '709', '765', '461', '45', '220', '446', '633', '261']
['554', '198', '752', '63', '567', '335', '20', '720', '298', '436']
['273', '118', '659', '587', '124', '612', '18', '58', '758', '678']
['606', '386', '303', '362', '635', '157', '77', '753', '161', '622']
['382', '379', '557', '614', '375', '237', '136', '221', '670', '57']
['688', '247', '737', '272', '307', '116', '456', '795', '589', '558']
['122', '475', '242', '537', '543', '455', '579', '238', '511', '344']
['526', '213', '151', '452', '480', '347', '529', '192', '218', '460']
['790', '254', '520', '260', '783', '578', '65', '484', '390', '299']
['794', '471', '798', '355', '5', '574', '575', '31', '454', '563']
['400', '799', '174', '234', '189', '176', '759', '744', '360', '194']
['542', '771', '164', '648', '469', '704', '319', '253', '128', '724']
['772', '715', '111', '729', '50', '503', '466', '78', '711', '373']
['507', '683', '716', '784', '767', '284', '462', '751', '126', '488']
['89', '35', '41', '322', '508', '741', '79', '62', '630', '692']
['468', '701', '115', '388', '243', '145', '294', '722', '236', '412']
['102', '396', '271', '148', '46', '401', '734', '139', '652', '650']
['225', '555', '241', '282', '4', '44', '770', '69', '191', '449']
['7', '264', '59', '447', '170', '450', '160', '572', '658', '330']
['435', '410', '697', '666', '332', '25', '397', '223', '787', '47']
['425', '664', '522', '439', '768', '233', '464', '54', '552', '773']
['487', '60', '415', '113', '399', '601', '617', '224', '385', '258']
['566', '504', '524', '745', '764', '349', '167', '778', '564', '12']
['638', '290', '342', '132', '226', '371', '235', '643', '426', '137']
['682', '166', '140', '451', '746', '39', '702', '30', '168', '698']
['515', '476', '428', '395', '405', '306', '130', '580', '550', '505']
['719', '532', '83', '686', '217', '509', '597', '190', '125', '114']
['657', '540', '333', '583', '72', '420', '177', '85', '691', '384']
['70', '623', '594', '496', '791', '649', '560', '277', '762', '93']
['414', '281', '627', '644', '786', '408', '559', '483', '609', '339']
['279', '549', '661', '760', '513', '149', '64', '568', '394', '619']
['551', '104', '610', '147', '599', '453', '203', '286', '528', '733']
['81', '289', '407', '750', '569', '740', '618', '780', '209', '757']
['231', '448', '229', '457', '95', '345', '34', '262', '775', '544']
['52', '317', '525', '663', '546', '730', '731', '642', '285', '714']
['743', '26', '22', '154', '364', '506', '265', '725', '188', '736']
['604', '14', '278', '432', '106', '602', '23', '411', '381', '406']
['40', '228', '797', '527', '548', '334', '251', '82', '353', '600']
['204', '363', '337', '200', '792', '699', '669', '311', '534', '673']
['693', '440', '680', '296', '310', '53', '498', '748', '67', '308']
['252', '472', '796', '486', '497', '143', '359', '707', '681', '413']
['502', '318', '215', '655', '478', '146', '326', '193', '418', '256']
['477', '357', '10', '325', '441', '376', '6', '378', '11', '438']
['288', '80', '590', '287', '700', '354', '270', '227', '293', '626']
['788', '781', '320', '620', '186', '117', '416', '640', '17', '718']
