['981', '56', '777', '737', '339', '71', '789', '4', '13', '470', '150', '486', '179', '248', '661', '892', '811', '404', '202', '903', '565', '346', '519', '182', '742', '992', '530', '869', '930', '94', '398', '995', '237', '121', '856', '144', '173', '924', '844', '970', '42', '368', '957', '975', '499', '639', '28', '446', '153', '465']
['862', '323', '159', '266', '263', '32', '549', '721', '197', '361', '547', '752', '641', '352', '782', '667', '631', '175', '229', '58', '300', '316', '852', '859', '119', '625', '215', '681', '758', '881', '935', '328', '562', '874', '51', '31', '206', '475', '755', '270', '123', '455', '479', '886', '275', '152', '284', '621', '469', '38']
['299', '391', '11', '329', '436', '9', '706', '592', '632', '331', '327', '73', '269', '24', '250', '715', '216', '579', '846', '97', '481', '99', '267', '690', '434', '776', '523', '946', '295', '155', '839', '104', '988', '103', '576', '213', '163', '68', '239', '697', '110', '595', '676', '897', '480', '857', '377', '848', '257', '696']
['356', '808', '116', '76', '172', '107', '664', '964', '501', '459', '348', '376', '211', '433', '683', '578', '818', '268', '695', '249', '315', '978', '467', '847', '531', '948', '112', '305', '129', '363', '665', '240', '141', '843', '934', '96', '29', '608', '814', '402', '0', '675', '180', '931', '813', '165', '997', '538', '553', '101']
['162', '858', '371', '723', '208', '478', '274', '823', '535', '779', '864', '186', '201', '832', '3', '522', '628', '445', '877', '913', '431', '419', '491', '84', '453', '255', '603', '482', '98', '350', '991', '313', '836', '911', '536', '863', '516', '500', '689', '868', '181', '297', '937', '343', '552', '243', '994', '517', '835', '659']
['33', '588', '424', '457', '95', '581', '127', '146', '521', '774', '796', '306', '218', '244', '292', '65', '484', '585', '933', '178', '341', '15', '904', '276', '728', '22', '49', '888', '310', '671', '232', '727', '735', '207', '971', '662', '75', '710', '907', '708', '498', '8', '126', '940', '423', '195', '605', '747', '906', '827']
['372', '861', '822', '763', '545', '830', '138', '514', '169', '732', '607', '205', '259', '825', '634', '573', '872', '219', '301', '314', '812', '209', '653', '366', '19', '133', '415', '845', '309', '637', '920', '785', '338', '724', '214', '803', '134', '713', '980', '302', '493', '109', '358', '883', '993', '289', '421', '156', '792', '989']
['191', '831', '751', '183', '965', '321', '403', '66', '43', '55', '1', '591', '804', '570', '840', '842', '674', '380', '596', '513', '443', '105', '142', '582', '611', '749', '654', '351', '799', '917', '367', '833', '417', '556', '74', '967', '834', '923', '474', '387', '442', '92', '805', '283', '879', '726', '999', '135', '615', '224']
['915', '712', '262', '824', '440', '855', '684', '968', '427', '694', '458', '938', '69', '679', '210', '337', '908', '780', '437', '766', '87', '324', '393', '878', '88', '336', '495', '304', '463', '512', '199', '506', '629', '754', '939', '340', '158', '921', '374', '739', '866', '793', '571', '171', '990', '120', '86', '365', '212', '624']
['652', '410', '870', '956', '598', '444', '492', '736', '489', '407', '389', '618', '230', '960', '668', '756', '613', '820', '422', '185', '510', '705', '982', '303', '490', '891', '533', '272', '660', '196', '312', '647', '943', '837', '561', '326', '37', '954', '108', '692', '577', '672', '709', '765', '461', '45', '90', '10', '261', '198']
['762', '983', '187', '189', '645', '539', '335', '717', '441', '430', '494', '887', '188', '902', '44', '882', '900', '220', '63', '616', '6', '20', '720', '800', '132', '118', '273', '294', '587', '569', '124', '612', '809', '18', '471', '678', '386', '682', '635', '383', '979', '161', '379', '914', '557', '614', '136', '838', '873', '984']
['154', '52', '520', '147', '518', '750', '912', '784', '291', '633', '567', '918', '298', '77', '753', '622', '952', '375', '950', '57', '502', '247', '307', '806', '738', '456', '687', '242', '537', '543', '91', '238', '344', '977', '151', '452', '867', '703', '529', '959', '460', '688', '986', '254', '260', '783', '416', '390', '798', '355']
['860', '36', '772', '574', '769', '764', '473', '593', '290', '342', '511', '157', '972', '221', '670', '14', '246', '589', '558', '925', '347', '192', '958', '969', '575', '280', '563', '50', '174', '700', '234', '759', '744', '360', '194', '771', '790', '164', '704', '718', '143', '707', '466', '128', '795', '761', '111', '729', '955', '919']
['590', '409', '245', '884', '677', '176', '963', '817', '648', '319', '568', '428', '117', '503', '987', '253', '78', '100', '373', '893', '716', '767', '462', '488', '35', '131', '41', '322', '53', '508', '79', '62', '630', '115', '145', '236', '412', '325', '555', '148', '193', '27', '46', '401', '228', '734', '650', '345', '241', '638']
['821', '945', '973', '140', '227', '748', '168', '711', '699', '701', '810', '741', '388', '951', '722', '396', '271', '901', '139', '853', '770', '890', '515', '264', '59', '447', '815', '851', '160', '572', '330', '895', '332', '397', '787', '947', '47', '636', '768', '233', '464', '54', '773', '296', '60', '113', '966', '542', '425', '385']
['534', '223', '362', '354', '584', '497', '61', '282', '449', '468', '658', '414', '225', '25', '439', '184', '399', '601', '378', '504', '524', '745', '359', '807', '778', '12', '320', '996', '226', '620', '125', '235', '426', '137', '166', '435', '451', '828', '39', '816', '30', '875', '698', '476', '405', '849', '454', '580', '550', '871']
['586', '528', '927', '942', '730', '663', '369', '258', '651', '167', '829', '850', '841', '564', '7', '643', '702', '395', '854', '505', '102', '532', '929', '916', '217', '597', '190', '985', '114', '540', '333', '392', '583', '318', '719', '420', '177', '781', '67', '384', '826', '944', '623', '496', '801', '791', '649', '560', '277', '370']
['626', '64', '450', '606', '130', '617', '349', '83', '509', '72', '85', '691', '594', '910', '93', '281', '627', '2', '526', '876', '786', '408', '559', '483', '657', '554', '928', '429', '122', '170', '541', '80', '926', '619', '34', '685', '487', '485', '418', '885', '775', '656', '889', '222', '203', '317', '26', '525', '546', '48']
['609', '507', '599', '334', '82', '394', '731', '998', '256', '666', '936', '746', '686', '640', '976', '21', '819', '16', '757', '448', '760', '357', '293', '285', '714', '941', '364', '477', '265', '725', '880', '802', '788', '278', '740', '548', '922', '106', '200', '23', '70', '411', '81', '680', '655', '610', '974', '381', '406', '308']
